name,discounted_price,previous_price,discount_%,id,brand,rating,reviews_count,link
3Gas + 1Electric 50X60 Cooker With Electric Oven -ECR1031EESB,"KSh 32,695",,,HA342HA36Q98ZNAFAMZ,Haier,,,https://www.jumia.co.ke/haier-3gas-1electric-50x60-cooker-with-electric-oven-ecr1031eesb-176210729.html
"60 X 60 Gas Cooker BGC-66M31ORSN, Black (1YR WRTY)","KSh 49,995",,,BR021HA3TLIOGNAFAMZ,Bruhm,,,https://www.jumia.co.ke/bruhm-60-x-60-gas-cooker-bgc-66m31orsn-black-1yr-wrty-267311113.html
"Cooker 3 Gas Burners,Hot Plate, Electric 60L Oven","KSh 33,319",,,NU344HA155HLFNAFAMZ,Nunix,,,https://www.jumia.co.ke/nunix-cooker-3-gas-burnershot-plate-electric-60l-oven-93302196.html
"Free Standing Cooker 50*55*84cm,4 Gas Burners,Gas Oven","KSh 19,469",,,NU344HA2ZYEE2NAFAMZ,Nunix,,,https://www.jumia.co.ke/nunix-free-standing-cooker-505584cm4-gas-burnersgas-oven-166832318.html
GREY 60x60 3+1 Electric/Gas Cooker - W/ Turbo Fan - Oven 60L Capacity,"KSh 37,799",,,BJ809HA0XKJGFNAFAMZ,BJS,,,https://www.jumia.co.ke/bjs-grey-60x60-31-electricgas-cooker-w-turbo-fan-oven-60l-capacity-36658365.html
"50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000",,,NU344HA21OZMENAFAMZ,Nunix,4.1,"<div class=""rev""><div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>(230)</div>",https://www.jumia.co.ke/nunix-50-55cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877732.html
"50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 18,480",,,NU344HA1VQNKMNAFAMZ,Nunix,4.0,"<div class=""rev""><div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>(158)</div>",https://www.jumia.co.ke/nunix-50-55cm-cooker-4-gas-burners-gas-oven1yr-wrty-187877731.html
"VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 24,999","KSh 35,000",29%,VO144HA4J4VBYNAFAMZ,VON,4.1,"<div class=""rev""><div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>(47)</div>",https://www.jumia.co.ke/von-vcf503131nfy-3-gas-1-electric-hotplate-electric-oven-50x50-grey-1yr-wrty-283640047.html
2 Gas Burner Table Top – GCModel,"KSh 2,530",,,NU344HA4JQTRCNAFAMZ,Nunix,4.3,"<div class=""rev""><div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>(34)</div>",https://www.jumia.co.ke/nunix-2-gas-burner-table-top-gcmodel-223092057.html
LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,489",,,AI234HA3W6PLPNAFAMZ,AILYONS,4.0,"<div class=""rev""><div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>(20)</div>",https://www.jumia.co.ke/ailyons-lyns-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-275395453.html
