microwaves_reviews,microwaves_price,Brand,Wattage,Capacity,Others
366," 8,899",Hisense,700W,N/A,Microwave Oven H20MOWS11   Digital Microwave
46," 8,499",Roch,N/A,20Ltrs Digital Microwave Oven High Quality Microwaves With Warranty RMW-20PX7H-B,N/A
2," 8,199",SmartPro,N/A,N/A,trs Digital Microwave Oven High Quality Microwaves With Warranty SMV--V4
0," 8,790",N/A,N/A,N/A,Hisense  Digital Microwave Oven H20MOMWS11 (White)+2YRS WARRANTY
31," 10,299",Hisense,700W,N/A,Microwave Oven H20MOMS11   Digital Microwave
16," 11,999",Ramtons,N/A,N/A,RM/458 - Digital Glass Microwave
13," 10,395",Haier,700W,N/A,"Digital Microwave Oven ,  Black -HMW20DBM"
3," 8,890",Hisense,N/A,N/A,Digital Microwave Oven H20MOMWS11 (White)
2," 8,999",Ramtons,N/A,N/A,RM/672- Microwave Grill
0," 6,000",Nunix,1280W,"Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven 
Input Power: 
Voltage: 220V/50Hz
Operating Frequency: 2450MHz
6 Microwave Power Level
White cavity
Capacity: 
WHAT’S IN T",N/A
0," 10,899",N/A,N/A,N/A,"VON VAMS-20DGX Microwave Oven, Solo, , Digital+1 YEAR WARRANTY"
1," 7,615",Binatone,N/A,N/A,Digital Microwave Oven MWO-2017 High Quality Kitchen Microwave
0," 8,249",ROCH,N/A,N/A,Analog Microwave  Good Quality Microwaves With Warranty RMW-M7CJ-A(B)
14," 10,395",Haier,700W,N/A,Analog  Microwave Oven  - Black- HMW20MB
0," 10,667",Icona,N/A,"Microwave ILDM0-2565XB QuickChef  -Your Culinary Game Changer with Warranty Plus"" – the ultimate kitchen revolution that promises to elevate your cooking experience. 1 year warranty",N/A
0," 10,899",Mika,N/A,N/A,Digital Microwave with Grill - Silver (2 Years Warranty)
0," 6,700",Nunix,N/A,N/A,"Microwave oven,1500 Watt Oven - 7 Cook Functions Rotisserie, Cook, Bake, Broil & More - Includes Baking Tray, Skewers & Handles"
0," 10,399",Hisense,700W,Microwave Oven H20MOMS11   Digital Microwave-SILVER,N/A
0," 9,999",HANMAC,N/A,N/A,Digital Microwave Oven
0," 10,999",Mika,700W,N/A,"Digital Microwave - , , Grill +1 Year Warranty"
2," 9,900",Hisense,N/A,N/A,Microwave Oven
