descriptions,brand,Price,Old_price,capacity,Reviews
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",Ramtons, 21000,11800,20,4.6
Nunix Digital Microwave Oven 20L WITH GRILL,Nunix, 10395,11080,20,4.3
Ramtons RM/684-25 LITERS MICROWAVE+GRILL (1YR WRTY),Ramtons, 20000,12000,25 ,4.5
"Nunix  3 IN 1 BREAKFAST MAKER, TOASTER,OVEN, COFFEE MAKER",Nunix, 8288,9999,,2
Nunix 20L Electric Oven With Grill (3 Knobs),Nunix, 8499,19999,20,4.2
"Mika MMWMSKH2012B - Microwave, 20L, Manual - Black",Mika, 12000,20000,20,4.8
"Nunix Digital Microwave with Grill, 20L",Nunix, 7799,13999,20,3.5
Hisense 20L Digital Microwave oven,Hisense, 14650,16000,20,3.5
"Mika MMWMSKH2011W - Microwave, 20L, Manual - White",Mika, 10900,18999,20,4.3
Hisense  20L Digital Microwave oven,Hisense, 18130,20000,20,1
Mika MMWDSTH2342BF - Flat Bed 23L Microwave Oven - 800W - Black,Mika, 11450,18999,23,5
Nunix manual microwave 20l,Nunix, 14995,14999,20,4.4
Nunix 20L Digital Electric Microwave Oven WITH GRILL,Nunix, 7695,18499,20,5
Hisense  20L Digital Microwave Oven,Hisense, 10900,15999,20,2
Nunix  20L Digital Electric Microwave Oven WITH GRILL,Nunix, 9979,8000,20,4.3
Synix High quality microwave 20 ltrs black,Synix, 16390,14999,20 ,4.5
Nunix Microwave Oven 20L WITH GRILL,Nunix, 7499,19000,20,3
Hisense  20L Digital Microwave oven,Hisense, 6299,15500,20,4.5
"Nunix  20L Electric Rotisserie Oven, 1280W",Nunix, 11395,18499,20,5
Synix Syinix 20l microwave oven,Synix, 10999,17999,20,4.7
Nunix Digital Microwave Oven 20L With Grill,Nunix, 14999,12000,20,4.7
Armco Electric Oven Conventional 38LTR 1600W 60 Minute Timer Multi Stage Switch Heating Selection Stainless Steel Housing High Quality Energy Saving 1 Yr Warranty,Armco, 11995,18000,38,5
Synix quality microwave oven,Synix, 13899,15999,,5
Nunix 20L Digital Microwave without Grill,Nunix, 18995,8000,20,4
Nunix Digital Microwave Oven 20L WITH GRILL,Nunix, 8999,14000,20,5
Nunix High Quality Microwave Oven 20L,Nunix, 10499,15000,20,4.6
Nunix 20L Digital Microwave without Grill,Nunix, 14999,15999,20,4
Nunix Digital Microwave Oven 20L. C20PG1,Nunix, 10499,15999,20,4.2
"Nunix 20L Electric Rotisserie Oven, 1280W",Nunix, 12499,12000,20,4.8
Nunix Digital Microwave Oven 20L WITH GRILL,Nunix, 10499,16499,20,4.3
Nunix Digital microwave 20 liters,Nunix, 15499,956,20 ,5
Nunix 20l Digital microwave with grill,Nunix, 6299,2270,20,5
Nunix High Quality  Microwave Oven 20L,Nunix, 10999,20000,20,4.7
Nunix  Digital Microwave Oven 20L WITH GRILL,Nunix, 12950,13999,20,4.5
Nunix 20L Digital Microwave with Grill,Nunix, 15495,22000,20,4
Baking Gloves Anti-Scalding Microwave Oven Gloves Heat,Baking, 12999,11000,,4
Thickened microwave oven gloves high temperature insulation kitchen household kitchen oven oven baking tools insulation gloves (dark green 1 pair),Thickened, 11399,20000,,3.5
Hisense 20L Digital Microwave oven,Hisense, 10999,16395,20,4
Hisense  20L Digital Microwave oven,Hisense, 8998,12000,20,5
Mika 20L Digital Microwave with Grill - Silver+1 YEAR WARRANTY,Mika, 11399,20000,20,4.8
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black",Midea, 10999,18499,20,3
Hisense 20L Digital Microwave Oven H20MOMWS11 -BLACK+2YRS WARRANTY,Hisense, 6299,18000,20,4.7
"Midea EG8P022MX-S, 25L Digital Microwave Grill Oven, 700W - Black",Midea, 10999,14999,25,5
"Nunix  3 IN 1 BREAKFAST MAKER, TOASTER,OVEN, COFFEE MAKER",Nunix, 12999,23000,,1
Hisense  20L Digital Microwave Oven,Hisense, 10999,15999,20,1
Reusable Silicon Air Fryer Liner Basket Tray,Reusable, 8999,22000,,3
Ramtons RM/326 - 25L Microwave+ Grill Glass - Black (1YR WRTY),Ramtons, 10999,10000,25,4
Nunix Microwave Oven 20L WITH GRILL,Nunix, 10499,17338,20,5
Hisense 30L Microwave (2YRs WRTY),Hisense, 478,18000,30,3
Ramtons RM/684-25 LITERS MICROWAVE+GRILL (1YR WRTY),Ramtons, 1334,18000,25 ,5
"Hisense Digital  Microwave Oven -700W , 20L-SILVER",Hisense, 14999,18000,20,4
Synix High quality microwave 20 ltrs black,Synix, 13899,19000,20 ,4
Hisense 20L Digital Microwave Oven 20 Liters Microwave,Hisense, 11289,26000,20,3.5
24.5cm microwave replacement turntable plate,, 7695,15999,,3.5
Hisense  20L Digital Microwave oven,Hisense, 9799,17999,20,4
Ramtons RM/588-23LT Microwave- Black (1YR WRTY),Ramtons, 13395,12000,23,5
"Mika  20 LITRES  Digital Microwave with Grill,700W- Silver+2YEARS WARRANTY",Mika, 7499,18000,20 ,5
Nunix 20L Manual Setting Microwave Oven,Nunix, 14999,15000,20,3.5
Nunix 20 LITRES MANUAL MICROWAVE,Nunix, 345,18000,20 ,4.3
"Hisense 700W,20L Microwave,H20MOWS11 -WHITE+2 YEARS WARRANTY",Hisense, 18130,14999,20,4.3
Hisense 20 LITRES Digital Microwave Oven-H20MOWS11,Hisense, 10499,12799,20 ,5
Hisense 20L Digital Microwave Oven H20MOMS11 -BLACK,Hisense, 21000,680,20,5
Nunix Digital Microwave Oven 20L With Grill,Nunix, 16390,18499,20,5
Ramtons RM/682-20 LITERS MICROWAVE+GRILL MIRROR FINISH (1YR WRTY),Ramtons, 9999,680,20 ,5
Mika 20L Digital Microwave with Grill+2YEARS WARRANTY,Mika, 12499,18000,20,4
Nunix Digital Microwave Oven 20L. C20PG1,Nunix, 10599,18000,20,4.3
Nunix Digital Microwave Oven 20L WITH GRILL,Nunix, 2800,16499,20,5
Nunix High Quality Microwave Oven 20L,Nunix, 15499,15000,20,5
Ramtons RM/328 - 20L Manual Microwave - White (1YR WRTY),Ramtons, 13450,15000,20,4.2
Hisense 20L Digital Microwave Oven H20MOMWS11-WHITE+2YRS WARRANTY,Hisense, 11250,18000,20,4.8
Ramtons RM/573 - Manual Microwave - 20L - Black (1YR WRTY),Ramtons, 8499,16000,20,4
Ramtons RM/319 - Digital Microwave - 20L - White (1YR WRTY),Ramtons, 8669,15000,20,1
Nunix Digital microwave 20 liters,Nunix, 8990,20000,20 ,3
Hisense 20L Digital Microwave Oven H20MOMWS11+2YRS WARRANTY,Hisense, 9399,3899,20,4
Synix Syinix 20l microwave oven,Synix, 9799,18000,20,4
Mika 20L MICROWAVE WITH GRILL,Mika, 12950,956,20,5
Microwave Food Cover with Steam Vents – BPA-Free Splatter Guard for Microwave Cooking Heat-Resistant and Dishwasher-Safe Fits Most Plate Sizes,Microwave, 12450,9500,,4
Nunix 20L Digital Microwave without Grill,Nunix, 11499,18000,20,4.4
Microwave Food Cover with Steam Vents – BPA-Free Splatter Guard for Microwave Cooking Heat-Resistant and Dishwasher-Safe Fits Most Plate Sizes,Microwave, 10999,18000,,3.5
Hisense  Microwave Oven H20MOMS11 700W 20L Digital Microwave+2 years warranty,Hisense, 10999,20000,20,4
Nunix 20L Digital Microwave without Grill,Nunix, 8998,15999,20,5
Nunix 20L Digital Microwave with Grill,Nunix, 10490,3480,20,5
Haier 20l digital control microwave oven-Silver,Haier, 8890,22000,20,5
Nunix 20L Microwave Oven - White,Nunix, 11450,10000,20,5
"Ramtons RM/320 - Digital Microwave, 700W - 20L - Silver (1YR WRTY)",Ramtons, 10700,10000,20,5
Hisense 20 LITRES Microwave Oven-H20MOWS11,Hisense, 12999,1000,20 ,4.4
Nunix Microwave Oven 20L - White,Nunix, 8899,15000,20,4.5
Nunix 20L Microwave Oven - White,Nunix, 10999,680,20,3
"Hisense H20MOMS11 ,20L Digital Microwave Oven,SILVER+2YEARS WARRANTY",Hisense, 11495,18000,20,5
Hisense Microwave 36 Liters (2YRs WRTY) (2YRs WRTY).,Hisense, 662,2545,36 ,5
Multipurpose Microwave Oven Stand,Multipurpose, 11399,1399,,5
Roch Digital Microwave 20ltrs,Roch, 662,22000,20,4.7
Baking Gloves Anti-Scalding Microwave Oven Gloves Heat,Baking, 9999,15000,,4.7
Nunix Microwave Oven 20L  With Manual Setting Function C20MX1,Nunix, 11399,8000,20,4
"Mika 20L Manual Microwave, 700W+1YEAR WARRANTY",Mika, 10499,12999,20,5
Hisense Digital Microwave Oven 20L White 2yrs Warranty.,Hisense, 13999,20000,20,4.6
Haier 20l digital control microwave oven-Silver,Haier, 9999,12000,20,4
Hisense 20L Digital Microwave - Black,Hisense, 11550,2928,20,4.2
Microwave Turntable Tray,Microwave, 9399,15000,,4.8
"Mika 20L Digital Microwave Plus Grill+2YRS WARRANTY,SILVER",Mika, 8625,20000,20,4.3
Nunix 20 LITRES ELECTRIC ROTISSERIE OVEN,Nunix, 8675,21000,20 ,4
Nunix 20 LITRES ELECTRIC ROTISSERIE OVEN,Nunix, 10599,10000,20 ,4.7
"Mika MMWMSKH2012B - Microwave, 20L, Manual - Black",Mika, 25000,15000,20,4.2
Medium Air fryer silicon liners pot reusable oven tray accessories,Medium, 2999,24000,,5
"Mika 	Digital Microwave - 20L, 700W, Grill (1 Year Warranty)",Mika, 9485,15999,20,3
Microwave Food Cover with Steam Vents – BPA-Free Splatter Guard for Microwave Cooking Heat-Resistant and Dishwasher-Safe Fits Most Plate Sizes,Microwave, 478,15000,,5
Hisense 20L Digital Microwave Oven H20MOMWS11-WHITE,Hisense, 8394,2000,20,4.3
1Pc Transparent Microwave Oven Turntable Glass Tray Glass Plate Diameter: 24.5cm,, 9990,2750,,4.5
Microwave dust cover,Microwave, 11899,19000,,5
Angry Mama Microwave Cleaner,Angry, 13999,344000,,4
Heavy Duty Metal Microwave Oven Rack Stand,Heavy, 9799,14999,,4
"Mika MMWDGP2074,Digital Microwave Oven 20L with Grill-SILVER",Mika, 2374,12000,20,5
Telescopic Heavy-duty Single Layer Microwave Stand,Telescopic, 11199,17999,,5
"VON VAMS-20DGB, 20L, 700Watts Microwave Oven",VON, 5999,35995,20,3
"Nunix  20L Electric Rotisserie Oven, 1280W",Nunix, 5950,48000,20,5
Nunix 20L Digital Microwave Oven With Grill  C20PG Silver,Nunix, 11395,16499,20,4.8
VON 25Lt Digital Grill Microwave Black Extra Large Cavity Space Strong Glass Door End Signal Reminder Black 1yr Warranty,VON, 650,799,25,3
Hisense  20L Digital Microwave Oven,Hisense, 10990,4917,20,5
Syinix 	20L Digital 700W Microwave - Black,Syinix, 662,15000,20,4.3
Black And White Geometric Design Of Multifunctional Microwave Oven Drape Dust Cover Fang You Gai Bu Yin Hua A Generation Of Fat,Black, 9490,1780,,5
"Mika 20L Digital, Solo, Microwave Oven",Mika, 2414,15000,20,5
Nunix 20l Digital microwave with grill,Nunix, 875,5000,20,5
Hisense Microwave 23 Liters H23moms5H (2YRs WRTY),Hisense, 435,3000,23 ,4.2
Nunix 20 LITRES ELECTRIC ROTISSERIE OVEN,Nunix, 4454,15000,20 ,4.8
30cm Round Disposable Cake Board Pizza Board,, 11499,118400,,5
Nunix Digital Microwave Oven 20L,Nunix, 3800,447,20,5
VON 20L DIGITAL MICROWAVE,VON, 12499,2140,20,5
Nunix Digital Microwave Oven 20L. C20PG1,Nunix, 6299,11999,20,2.7
Nunix Digital microwave 20 liters,Nunix, 9974,18000,20 ,1
"Rotating Cake Turntable Cake Stand, Revolving Cake Stand,Cake Decorating Tools,White Baking Cake Decorating Supplies",Rotating, 15995,887,,5
Adjustable Microwave Organizer / Stand-Quite Elegant,Adjustable, 14999,4100,,3
