microwaves_name,microwaves_reviews,microwaves_price
Hisense Microwave Oven H20MOWS11 700W 20L Digital Microwave,(366),"KSh 8,899"
Roch 20Ltrs Digital Microwave Oven High Microwaves Warranty RMW20PX7HB,(46),"KSh 8,499"
SmartPro 20Ltrs Digital Microwave Oven High Microwaves Warranty SMV20LV4,(2),"KSh 8,199"
Hisense 20L Digital Microwave Oven H20MOMWS11 White2YRS WARRANTY,(0),"KSh 8,790"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave,(31),"KSh 10,299"
Ramtons RM458 Digital Glass Microwave,(16),"KSh 11,999"
Haier 20L Digital Microwave Oven 700W Black HMW20DBM,(13),"KSh 10,395"
Hisense 20L Digital Microwave Oven H20MOMWS11 White,(3),"KSh 8,890"
Ramtons RM672 Microwave Grill 20Litres,(2),"KSh 8,999"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White cavity Capacity 20L WHATS IN T,(0),"KSh 6,000"
VON VAMS20DGX Microwave Oven Solo 20L Digital1 YEAR WARRANTY,(0),"KSh 10,899"
Binatone 20L Digital Microwave Oven MWO2017 High Microwave,(1),"KSh 7,615"
ROCH Analog Microwave 20L Good Microwaves Warranty RMW20LM7CJAB,(0),"KSh 8,249"
Haier Analog 20L Microwave Oven 700W Black HMW20MB,(14),"KSh 10,395"
Icona Microwave ILDM02565XB QuickChef 25L Culinary Game Changer Warranty Plus ultimate revolution that promises to elevate cooking 1 year warranty,(0),"KSh 10,667"
SALEMika 20L Digital Microwave Grill Silver 2 Years Warranty,(0),"KSh 10,899"
Nunix Microwave oven1500 Watt Oven 7 Cook Functions Rotisserie Cook Bake Broil More Includes Baking Tray Skewers Handles,(0),"KSh 6,700"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveSILVER,(0),"KSh 10,399"
HANMAC 20L Digital Microwave Oven,(0),"KSh 9,999"
Mika Digital Microwave 20L 700W Grill 1 Year Warranty,(0),"KSh 10,999"
Hisense 20L Microwave Oven,(2),"KSh 9,900"
Black silver hisense Digital Microwave20 Litres Hisense digital microwave grill,(0),"KSh 12,150"
Microwave Oven 20L,(43),"KSh 8,599"
Nunix Microwave Oven 20L GRILL White,(16),"KSh 9,987"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveWhite2 YEARS WARRANTY,(0),"KSh 8,990"
RAMTONSRM24020 LITERS MICROWAVEGRILL SILVER,(0),"KSh 13,399"
Nunix Digital Microwave Oven 20L GrillCOMPACT Nunix C20PG Countertop Microwave is 44cm long making it ideal choice to fit into dormitories apartment kitchens or workplace DIGITAL,(0),"KSh 10,950"
Von Digital control Multistage cooking 6 autocook menus VAMS20DGX Microwave Oven Solo Touch control panel Memory cooking a combination of different programs,(89),"KSh 12,099"
Microwave Oven 20L DIGITAL GRILL,(24),"KSh 9,879"
Hisense 20L Digital Microwave WHITE 2 Years Warranty,(0),"KSh 8,990"
VON 20L ANALOGE MICROWAVE,(0),"KSh 11,000"
Hisense 20L Digital Microwave 2 Years Warranty,(0),"KSh 9,999"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White cavity Capacity 20L WHATS IN T,(0),"KSh 10,000"
Ramtons RM459 20L Manual Glass Microwave,(3),"KSh 11,599"
Microwave Oven 20L White Manual NUNIX MICROWAVE,(0),"KSh 8,647"
RAMTONSRM23820LT MICROWAVE DIGITAL SILVER,(2),"KSh 12,399"
Hisense Microwave Oven 20L6 auto cooking defrost function Child safety lock 2YRS Warranty H20MOBS11,(0),"KSh 12,999"
