brand,storage,ram,phones_price,reviews,battery
OPPO F11 A9,128,," 7,499",9,4000
Itel S23 Plus,128,8," 13,399",153,5000
XIAOMI Redmi 14C,128,8," 12,910",136,5160
OPPO A91 F15,256,," 7,899",8,
TECNO POP 9,128,6," 11,599",84,5000
Itel A70 128GB8GB,128,," 9,699",573,5000
XIAOMI Redmi A3X,64,," 10,499",2,5000
TECNO POP 8,128,8," 9,999",398,5000
realme Note 50,128,8," 10,299",21,
OPPO A3 F7,128,," 6,466",1,3500
OPPO A59s F1s,,4," 4,499",310,3075
Infinix 9 HD,64,6," 10,599",3,5000
TECNO SPARK 20,256,," 18,599",64,5000
TECNO SPARK 30C,128,8," 13,999",49,5000
OPPO Reno 2z,128,," 9,899",369,
Samsung Galaxy A05S,128,," 15,399",112,5000
Samsung Galaxy A15,128,," 18,599",600,5000
Samsung Galaxy A05,128,," 10,880",167,5000
Samsung Galaxy A16,128,," 19,499",1,5000
Itel A80 128GB8GB,128,," 10,799",3,5000
oppo a37 100%,16,2," 3,199",324,2630
Samsung Galaxy A05,64,," 10,850",113,5000
OPPO A3 128GB4GB,128,," 7,199",354,3600
Realme Note 50,256,8," 12,399",53,
Infinix 9 128GB,128,8," 10,999",5,5000
XIAOMI Redmi 14C,128,8," 12,980",1,5160
oppo A83 64GB,64,4," 4,599",48,
OPPO Reno 2Z,256,," 9,199",1,
Samsung Galaxy A06,128,," 13,599",20,5000
oppo a37 100%,16,2," 3,666",657,2630
OPPO A7 A5s,64,," 6,499",76,4230
Realme Note 50,64,6," 9,699",61,5000
OPPO Reno 2Z,,8," 9,499",23,4000
Samsung Galaxy S7,,4," 5,999",185,
TECNO SPARK 30,128,8," 16,999",3,5000
OPPO A31 4GB64GB,,4," 7,999",64,4230
Tecno Pova 6,256,," 19,399",45,7000
Infinix HOT 40,256,," 17,599",11,5000
Xiaomi Redmi 14C,128,8," 13,599",36,5160
Huawei 6x 4gb64gb,,," 5,333",141,3340
Samsung Galaxy A05,64,," 10,980",20,5000
oppo Reno 256GB/128GB6GB,256,," 9,799",139,
Realme Note 50,128,8," 11,450",88,
OPPO Reno 2Z,256,," 9,999",52,
Tecno Camon 30S,128,," 22,999",4,5000
