id,name,brand,RAM,ROM,processor,screen_size,price,reviews,links,source
0,Refurbished FUJITSU U938 Ultra Portable Laptop Intel Core i5 8th Gen 2.7GHz 8GB RAM 128GB SSD Touchscreen Lightweight student Business Notebook,FUJITSU,8GB,128GB SSD,Intel Core i5,,15999,11,https://www.kilimall.co.ke/listing/1001022952-refurbished-fujitsu-u938-ultra-portable-laptop-intel-core-i5-8th-gen-27ghz-8gb-ram-128gb-ssd-touchscreen-lightweight-student-business-notebook?skuId=10002266911&source=search-enterSearch-laptop,Kilimall
1,Refurbished Lenovo X270 Ultralight Intel Core i5 7th Gen 8GB RAM 256GB SSD 12.5-Inch FHD Portable Business Laptop,Lenovo,8GB,256GB SSD,Intel Core i5,,15999,4,https://www.kilimall.co.ke/listing/1001023450-refurbished-lenovo-x270-ultralight-intel-core-i5-7th-gen-8gb-ram-256gb-ssd-125inch-fhd-portable-business-laptop?skuId=10002104760&source=search-enterSearch-laptop,Kilimall
2,"FUJITSU U938 Ultra-Portable Laptop  Intel Core i5-7200U, 2.7GHz, 8GB RAM, 256GB SSD, Touchscreen, Lightweight Business Notebook",FUJITSU,8GB,256GB SSD,Intel Core i5,,15999,9,https://www.kilimall.co.ke/listing/1001007657-fujitsu-u938-ultraportable-laptop-intel-core-i57200u-27ghz-8gb-ram-256gb-ssd-touchscreen-lightweight-business-notebook?skuId=10002032737&source=search-enterSearch-laptop,Kilimall
3,Lenovo Thinkpad Yoga 11e X360 Celeron 4gb Ram 128gb ssd Refurbished Laptop Touchscreen 12.5 Inch Screen Size With Windows and Office Installed Black in Color,Lenovo,4GB,128GB SSD,Unknown,12.5,10999,20,https://www.kilimall.co.ke/listing/1000443194-limited-time-offer-lenovo-thinkpad-yoga-11e-x360-celeron-4gb-ram-128gb-ssd-refurbished-laptop-touchscreen-125-inch-screen-size-with-windows-and-office-installed-black-in-color?skuId=10001678534&source=search-enterSearch-laptop,Kilimall
4,Refurbished Macbook Air 2015 Silver 13 inch apple laptop,MacBook,Unknown,Unknown,Unknown,13.0,31999,3,https://www.kilimall.co.ke/listing/3064394-refurbished-macbook-air-2015-silver-13-inch-apple-laptop?skuId=19983700&source=search-enterSearch-laptop,Kilimall
5,"LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12 INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",Lenovo,4GB,128GB SSD,Unknown,12.0,11499,219,https://www.kilimall.co.ke/listing/2855837-new-special-offer-lenovo-yoga-11e-4gb-ram-128gb-ssd-2-in-1-touchscreen-x360-laptop-refurbished-laptop-black-12-inch-installed-windows-10-pro-and-free-mouse?skuId=19422625&source=search-enterSearch-laptop,Kilimall
6,Hp Refurbished Probook 11 G4 EE 8th Generation X360 Touchscreen Laptop Core i5 8gb Ram 128gb SSD 8th Generation 12.5 Inch Screen in Size With Windows and Office Installed,HP,8GB,128GB SSD,Intel Core i5,12.5,16499,8,https://www.kilimall.co.ke/listing/1000443087-limited-time-offer-hp-refurbished-probook-11-g4-ee-8th-generation-x360-touchscreen-laptop-core-i5-8gb-ram-128gb-ssd-8th-generation-125-inch-screen-in-size-with-windows-and-office-installed?skuId=10001678389&source=search-enterSearch-laptop,Kilimall
7,Toshiba R63 Refurbished Ultra Slim Laptop Intel Core i5 5th Gen 8GB RAM 128GB SSD 6-Month Warranty Affordable Performance  Portability,Toshiba,8GB,128GB SSD,Intel Core i5,,12999,12,https://www.kilimall.co.ke/listing/1001002260-toshiba-r63-refurbished-ultra-slim-laptop-intel-core-i5-5th-gen-8gb-ram-128gb-ssd-6month-warranty-affordable-performance-portability?skuId=10002120157&source=search-enterSearch-laptop,Kilimall
8,i78GB500GB14Refurbished Hp Elitebook 840 G1 Laptop - Intel Core i7 6th - 8GB RAM 500GB HDD ROM - 14 Windows 11 Notebook Silver 14 inch FHD Display,HP,8GB,500GB HDD,Intel Core i7,14.0,22999,9,https://www.kilimall.co.ke/listing/1001000182-i78gb500gb14refurbished-hp-elitebook-840-g1-laptop-intel-core-i7-6th-8gb-ram-500gb-hdd-rom-14-windows-11-notebook-silver-14-inch-fhd-display?skuId=10002000958&source=search-enterSearch-laptop,Kilimall
9,"Refurbished HP Elitebook 8460P Laptop Core i5 8GB RAM  500GB HDD Computer Laptop,windows 10 pro Refurbished Laptops Notebook Computers",HP,8GB,500GB HDD,Intel Core i5,,12999,35,https://www.kilimall.co.ke/listing/1000359668-special-offers-refurbished-hp-elitebook-8460p-laptop-core-i5-8gb-ram-500gb-hdd-computer-laptopwindows-10-pro-refurbished-laptops-notebook-computers?skuId=10001287142&source=search-enterSearch-laptop,Kilimall
10,HP ProBook X360 11 G2 EE Core i5 7th Gen 8GB RAM 256GB SSD 11.6 Inches HD Touchscreen 1.2GHz up to 3.2GHz Dual Core Processor Windows 10 Pro 2 in 1 Convertible Slim Refurbished Laptop - 6 MNTHS WRNTY,HP,8GB,256GB SSD,Intel Core i5,11.6,21500,3,https://www.kilimall.co.ke/listing/1000443583-hp-probook-x360-11-g2-ee-core-i5-7th-gen-8gb-ram-256gb-ssd-116-inches-hd-touchscreen-12ghz-up-to-32ghz-dual-core-processor-windows-10-pro-2-in-1-convertible-slim-refurbished-laptop-6-mnths-wrnty?skuId=10001679508&source=search-enterSearch-laptop,Kilimall
11,Refurbished FUJITSU U938 Ultra Portable Laptop Intel Core i5 8th gen 2.7GHz 8GB RAM 128 GB SSD Touchscreen Lightweight student Business Notebook,FUJITSU,8GB,128GB SSD,Intel Core i5,,14999,0,https://www.kilimall.co.ke/listing/1001007801-refurbished-fujitsu-u938-ultra-portable-laptop-intel-core-i5-8th-gen-27ghz-8gb-ram-128-gb-ssd-touchscreen-lightweight-student-business-notebook?skuId=10002033172&source=search-enterSearch-laptop,Kilimall
12,"REFURBISHED HP ELITEBOOK 8460P CORE INTEL I5 8GB RAM 500GB HDD COMPUTER LAPTOP ,WINDOWS 10 PRO FREE MOUSE",HP,8GB,500GB HDD,Intel Core i5,,12999,83,https://www.kilimall.co.ke/listing/1000155095-new-special-offer-refurbished-hp-elitebook-8460p-core-intel-i5-8gb-ram-500gb-hdd-computer-laptop-windows-10-pro-free-mouse?skuId=10000382886&source=search-enterSearch-laptop,Kilimall
13,Dell Latitude 7440  Core i5  8GB RAM  500GB HDD  14 Display  Long Battery Life  Sleek  Reliable Laptop Warranty Laptops High Quality Computer Refurbished Notebook,Dell,8GB,500GB HDD,Intel Core i5,,15000,0,https://www.kilimall.co.ke/listing/1001035355-dell-latitude-7440-core-i5-8gb-ram-500gb-hdd-14-display-long-battery-life-sleek-reliable-laptop-warranty-laptops-high-quality-computer-refurbished-notebook?skuId=10002153608&source=search-enterSearch-laptop,Kilimall
14,Special Lenovo Thinkpad T490s Intel core i5 8gb Ram 256gb SSD 8th Generation Refurbished Laptop 14 Inch Screen Size With Installed Windows and Office Black in Color,Lenovo,8GB,256GB SSD,Intel Core i5,14.0,26999,0,https://www.kilimall.co.ke/listing/1000450954-special-limited-time-offer-lenovo-thinkpad-t490s-intel-core-i5-8gb-ram-256gb-ssd-8th-generation-refurbished-laptop-14-inch-screen-size-with-installed-windows-and-office-black-in-color?skuId=10001730698&source=search-enterSearch-laptop,Kilimall
15,Refurbished Dell 3420 Core I7 11th Gen 16GB Ram 256ssd 14 Inch Screen Size Ultra Slim Laptop With Windows 11 and Office 2021,Dell,16GB,Unknown,Intel Core i7,14.0,39459,6,https://www.kilimall.co.ke/listing/1001021585-refurbished-dell-3420-core-i7-11th-gen-16gb-ram-256ssd-14-inch-screen-size-ultra-slim-laptop-with-windows-11-and-office-2021?skuId=10002312137&source=search-enterSearch-laptop,Kilimall
16,Core i58gb256gb14 Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14 Backlit Keyboard Notebook Laptop Computer Windows 11 Office,HP,8GB,256GB SSD,Intel Core i5,,21199,4,https://www.kilimall.co.ke/listing/1001000375-core-i58gb256gb14-refurbished-hp-elitebook-840-g3-laptop-intel-core-i5-6th-gen-8gb-256gb-ssd-14-backlit-keyboard-notebook-laptop-computer-windows-11-office?skuId=10002002272&source=search-enterSearch-laptop,Kilimall
17,Free Mouse Hp Elitebook x2 1012 G2 Detachable 2 in 1 8GB 256GB 6th Gen FHD 12.5 Non-touch - Refurbished Business Student Laptop - Office 2021 Windows 11 Notebook Silver,HP,8GB,256GB,Unknown,,18599,5,https://www.kilimall.co.ke/listing/1000449041-free-mouse-hp-elitebook-x2-1012-g2-detachable-2-in-1-8gb-256gb-6th-gen-fhd-125-nontouch-refurbished-business-student-laptop-office-2021-windows-11-notebook-silver?skuId=10001723829&source=search-enterSearch-laptop,Kilimall
18,"Lenovo ThinkPad L470 Business Laptop - Intel Core i5-7300U  2.7GHz, 8GB RAM, 256GB SSD, Windows 10 Pro - Reliable Performance for Work  Study",Lenovo,8GB,256GB SSD,Intel Core i5,,17999,1,https://www.kilimall.co.ke/listing/1001040443-lenovo-thinkpad-l470-business-laptop-intel-core-i57300u-27ghz-8gb-ram-256gb-ssd-windows-10-pro-reliable-performance-for-work-study?skuId=10002171882&source=search-enterSearch-laptop,Kilimall
19,"HP ProBook x360 11 G5 EE, 9th generation 8GB RAM 256GB, Intel Pentium Silver Quad core 11.6 inch touchscreen 2 in 1 Refurbished Laptop with a Free Bag",HP,8GB,256GB,Unknown,11.6,21000,6,https://www.kilimall.co.ke/listing/1000371530-hp-probook-x360-11-g5-ee-9th-generation-8gb-ram-256gb-intel-pentium-silver-quad-core-116-inch-touchscreen-2-in-1-refurbished-laptop-with-a-free-bag?skuId=10001370188&source=search-enterSearch-laptop,Kilimall
20,HP laptop Intel  Core  i5..2.65ghz 8GB RAM 500gb HDD Display LED Windows 10 pro Wifi and Bluetooth VGA and HDMI ports Battery life 3 to 4 hrs Original adapter,HP,8GB,500GB HDD,Intel Core i5,,19755,0,https://www.kilimall.co.ke/listing/1001010326-black-friday-hp-laptop-na-offer-intel-core-i5265ghz8gb-ram-500gb-hdd-display-led-windows-10-pro-wifi-and-bluetooth-vga-and-hdmi-ports-battery-life-3-to-4-hrs-original-adapter?skuId=10002043092&source=search-enterSearch-laptop,Kilimall
21,Brand NEW HP 250 G9  Celeron N4500  8GB RAM  256GB SSD  15.6 Inch FHD display School  Business Laptop Computer  Notebook  Windows 11 New Laptops HP Laptop Computers,HP,8GB,256GB SSD,Unknown,15.6,38999,0,https://www.kilimall.co.ke/listing/1001041720-brand-new-hp-250-g9-celeron-n4500-8gb-ram-256gb-ssd-156-inch-fhd-display-school-business-laptop-computer-notebook-windows-11-new-laptops-hp-laptop-computers?skuId=10002176062&source=search-enterSearch-laptop,Kilimall
22,i54gb 500gb Refurbished Dell Latitude 5430 intel core i5 4GB Ram 500GB HDD 14INCH Refurbished Laptops Notebooks Refurbishded Computer,Dell,4GB,500GB,Intel Core i5,14.0,11499,2,https://www.kilimall.co.ke/listing/1001045914-i54gb-500gb-refurbished-dell-latitude-5430-intel-core-i5-4gb-ram-500gb-hdd-14inch-refurbished-laptops-notebooks-refurbishded-computer?skuId=10002188099&source=search-enterSearch-laptop,Kilimall
23,Lenovo Thinkpad Yoga 11e X360 Celeron 4GB RAM  128GB SSD Refurbished Laptop Touchscreen 11.6 Inch Screen Size Laptops With Windows and Office Installed High Quality Computer,Lenovo,4GB,128GB SSD,Unknown,11.6,13499,12,https://www.kilimall.co.ke/listing/1000446725-lowest-price-offer-lenovo-thinkpad-yoga-11e-x360-celeron-4gb-ram-128gb-ssd-refurbished-laptop-touchscreen-116-inch-screen-size-laptops-with-windows-and-office-installed-high-quality-computer?skuId=10001702442&source=search-enterSearch-laptop,Kilimall
24,"Dell Latitude 5400 - Intel Core i7, 16GB RAM, 512GB SSD - High-Performance Business Laptop",Dell,16GB,512GB SSD,Intel Core i7,,32999,0,https://www.kilimall.co.ke/listing/1001072971-dell-latitude-5400-intel-core-i7-16gb-ram-512gb-ssd-highperformance-business-laptop?skuId=10002261063&source=search-enterSearch-laptop,Kilimall
25,Core i58gb256gb14 Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14 Backlit Keyboard Notebook Laptop Computer Windows 11 Office,HP,8GB,256GB SSD,Intel Core i5,,21299,0,https://www.kilimall.co.ke/listing/1001000379-core-i58gb256gb14-refurbished-hp-elitebook-840-g3-laptop-intel-core-i5-6th-gen-8gb-256gb-ssd-14-backlit-keyboard-notebook-laptop-computer-windows-11-office?skuId=10002002298&source=search-enterSearch-laptop,Kilimall
26,Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 4gb Ram 128gb SSD 11.6inch Refurbished Laptop Computer Notebook,Lenovo,4GB,128GB SSD,Unknown,11.6,11099,4,https://www.kilimall.co.ke/listing/1000436338-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-x360-2-in-1-laptop-intel-celeron-4gb-ram-128gb-ssd-116inch-refurbished-laptop-computer-notebook?skuId=10001649305&source=search-enterSearch-laptop,Kilimall
27,"Lenovo ThinkPad X1 Carbon - Intel Core i5-7200U 2.5GHz, 8GB RAM, 256GB SSD, Windows 10 Professional Laptop",Lenovo,8GB,256GB SSD,Intel Core i5,,23999,1,https://www.kilimall.co.ke/listing/1001037419-lenovo-thinkpad-x1-carbon-intel-core-i57200u-25ghz-8gb-ram-256gb-ssd-windows-10-professional-laptop?skuId=10002161704&source=search-enterSearch-laptop,Kilimall
28,Touchscreen Refurbished lenovo thinkpad yoga 11e 2 in 1 laptop x360 celeron 4gb ram 128gb ssd 11.6 inch Lenovo laptops Notebook Computers,Lenovo,4GB,128GB SSD,Unknown,11.6,10999,95,https://www.kilimall.co.ke/listing/1000128274-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-2-in-1-laptop-x360-celeron-4gb-ram-128gb-ssd-116-inch-lenovo-laptops-notebook-computers?skuId=10000299480&source=search-enterSearch-laptop,Kilimall
29,i78GB256GB14Refurbished Hp Elitebook 840 G1 Laptop - Intel Core i7 6th - 8GB RAM 256GB SSD ROM - 14 Windows 11 Notebook Silver 14 inch FHD Display,HP,8GB,256GB SSD,Intel Core i7,14.0,22999,1,https://www.kilimall.co.ke/listing/1001000151-i78gb256gb14refurbished-hp-elitebook-840-g1-laptop-intel-core-i7-6th-8gb-ram-256gb-ssd-rom-14-windows-11-notebook-silver-14-inch-fhd-display?skuId=10002000847&source=search-enterSearch-laptop,Kilimall
30,Refurbished HP Elitebook 1030 G4 X360 Core I7 16GB 512GB SSD 8th Generation 2in1 Convertible 13.3 Inch Touchscreen FHD ultraslim Laptop  Bag,HP,16GB,512GB SSD,Intel Core i7,13.3,54900,0,https://www.kilimall.co.ke/listing/1001050568-refurbished-hp-elitebook-1030-g4-x360-core-i7-16gb-512gb-ssd-8th-generation-2in1-convertible-133-inch-touchscreen-fhd-ultraslim-laptop-bag?skuId=10002202592&source=search-enterSearch-laptop,Kilimall
31,"Apple MacBook Pro 13.3 Core I5 2.5GHz 8GB RAM, 256GB SSD Early 2011 Laptop",MacBook,8GB,256GB SSD,Intel Core i5,,23999,0,https://www.kilimall.co.ke/listing/2924993-apple-macbook-pro-133-core-i5-25ghz-8gb-ram-256gb-ssd-early-2011-laptop?skuId=19617639&source=search-enterSearch-laptop,Kilimall
32,"BRAND NEW HP 15s -du1090tu 8GB RAM  256GB SSD  15.6 Inch HD Display Laptop comes with Intel Core i3-10110U 2.1 GHz base frequency, up to 4.1 GHz with Intel Turbo Boost Technology, 4",HP,8GB,256GB SSD,Intel Core i3,15.6,38999,1,https://www.kilimall.co.ke/listing/1000251016-best-offers-brand-new-hp-15s-du1090tu-8gb-ram-256gb-ssd-156-inch-hd-display-laptop-comes-with-intel-core-i310110u-21-ghz-base-frequency-up-to-41-ghz-with-intel-turbo-boost-technology-4?skuId=10000755395&source=search-enterSearch-laptop,Kilimall
33,I54GB500GB Refurbished Laptop Lenovo Thinkpad T420s Core i5 2nd Gen 4GB500GB HDD 12.5 Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch,Lenovo,4GB,Unknown,Intel Core i5,12.0,11449,0,https://www.kilimall.co.ke/listing/1001048468-i54gb500gb-refurbished-laptop-lenovo-thinkpad-t420s-core-i5-2nd-gen-4gb500gb-hdd-125-windows-10-refurbished-lenovo-laptops-notebook-black-12-inch?skuId=10002196991&source=search-enterSearch-laptop,Kilimall
34,Hp EliteBook 840 G3 Laptop Computer Intel Core i7 6th Generation 8GB RAM 256 GB SSD Storage LED Backlit Keyboard 1920 x 1080 HD Screen  Windows 10 Pro  Silver  12.5 inc,HP,8GB,256GB SSD,Intel Core i7,,24399,0,https://www.kilimall.co.ke/listing/1001031633-new-year-sale-hp-elitebook-840-g3-laptop-computer-intel-core-i7-6th-generation-8gb-ram-256-gb-ssd-storage-led-backlit-keyboard-1920-x-1080-hd-screen-windows-10-pro-silver-125-inc?skuId=10002142707&source=search-enterSearch-laptop,Kilimall
