clean_standingcooker_name,brand,standing_cooker_type,oven_capacity,standing_cooker_reviews,standing_cooker_price
Volsmart 4 Burners VGS-580 Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker  Gas Oven,volsmart,4 gas,Unknown,241,18299
Special OfferNunix  KZ-560-3G1E   Free Standing 3 Gas  Cooker1 Hotplate With  Electric Oven Cooker,nunix,Unknown,Unknown,223,23899
SPECIAL OFFER Eurochef EGT-55-3G1E-E 3 Gas Burner  1 Hot Plate with Electric Oven 55x50cm,eurochef,Unknown,Unknown,39,22100
Nunix KZ-560-GO Free Standing 4 Gas Burners Oven Cooker Gas Cooker,nunix,4 gas,Unknown,157,19799
Nunix 3 Gas Burners  1 Electric Standing Gas Cooker With Storage Shelf  LTS-02,nunix,Unknown,Unknown,18,9299
Special OfferVolsmart 4 Burners VGS-580 Free Standing 4 Gas Burners Oven Cooker Gas Cooker Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker  Gas Oven,volsmart,4 gas,Unknown,3,17999
"Sayona Free Standing 50CM X 50CM, 3G1E, GAS OVEN, White,  Gas Cooker1 YEAR WARRANTY",sayona,Unknown,Unknown,1,21790
Nunix Free Standing 3 Gas Burner 1 Electric Cooker With Oven,nunix,Unknown,Unknown,12,23999
Nunix 4 Gas Burners Standing Gas Cooker With Storage Shelf LTS-01,nunix,4 gas,Unknown,9,8399
"CLEARANCE SALEMika 50cmx 60cm,3 Gas1 Hot Plate, Button Ignition,Standing Cooker Electric Oven",mika,Unknown,Unknown,0,32990
"VOLSMART 6060, 3 Gas Jet Pool Burners  1 Rapid Plate, Free Standing Cooker with Electric Oven",volsmart,Unknown,Unknown,1,28000
"Mika Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Matt Black WITH FREE PIPE AND REGULATOR AND CLIPS",mika,Unknown,Unknown,0,37000
Premier Four Burner Cooker PM-400 All Gas With Oven Auto Ignition Electronics And Appliances Home Improvement Standing Gas Cookers brown,premier,Unknown,Unknown,7,18639
"CLEARANCE SALE Sarah 60 x 60, 3 Gas Pool Jet Burners  1 Hot Plate, Free Standing Cooker  Electric Oven1 YEAR WARRANTY",sarah,Unknown,Unknown,2,28699
"Mika Standing Cooker, 50cm X 60cm, 3 Gas  1 Hot Plate, Button Ignition, Electric Oven1 YEAR WARRANTY",mika,Unknown,Unknown,0,32999
SPECIAL OFFER EUROCHEF EG55-4GE 4 Gas Burner  Electric Oven Stand Gas Cooker  50x55cm,eurochef,4 gas,Unknown,0,19999
"Mika Free Standing Cooker,50cm X 60cm,3 Gas1 Hot Plate, Button Ignition, Electric Oven1YEAR WARRANTY",mika,Unknown,Unknown,0,32999
CLEARANCE SALE Nunix Free Standing Cooker 60CM x 60CM  3 Gas 1 Electric HotplateElectric Oven 1 YEAR WARRANTY,nunix,Unknown,Unknown,0,26999
Special Offer Eurochef EG65-4GG Free Standing 4 Gas Burners Oven Cooker Gas Cooker,eurochef,4 gas,Unknown,0,22099
"CLEARANCE SALE Nunix 50  55cm Cooker, 4 Gas Burners With Gas Oven 1YR WRTY",nunix,4 gas,Unknown,0,19999
"CLEARANCE SALE Nunix 50  55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven 1YR WRTY",nunix,Unknown,Unknown,0,23999
Free Standing 4 Gas Burner With Gas Oven Cooker 50  55  84cm,Unknown,4 gas,Unknown,19,19994
"MIKA FREE Standing Cooker, 50cmx60 cm, 3 Gas Burner  1 Electric Plate  Electric Oven1 YEAR WARRANTY",mika,Unknown,Unknown,0,31999
Eurochef 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER. FOUR BURNERS THREE GAS AND ONE ELECTRIC PLATE with AUTOMATIC IGNITION,eurochef,Unknown,Unknown,0,5476
"Jiko ecoa - Jiko okoa Less charcoal, Less Smoke, Save Energy",jiko okoa,Unknown,Unknown,0,3995
"Eurochef EG55-4GE OVEN Free Stand Glass Top Cooker, rotisserie Silver, 60L",eurochef,Unknown,Unknown,0,20999
Nunix Two Burner Tabletop Gas Cooker Stainless Steel - Black,nunix,Unknown,Unknown,0,2450
"GAS COOKER. VOLSMART Standing Cooker, 6060, 3 Gas Jet Pool Burners  1 Hot Plate, Electric Oven",volsmart,Unknown,Unknown,0,28750
Xmas Mega SaleVolsmart 4 Burners VGS-680 Free Standing Gas Cooker Cooking Range with 80L Oven 4 Gas Cooker  Gas Oven,volsmart,4 gas,Unknown,1,20199
CLEARANCE OFFER Eurochef EG76-4G1E-G 4 Gas 1 Hot Plate stand cooker with Gas Oven,eurochef,4 gas,Unknown,6,35000
"Premier 4 BURNER GAS COOKER FLOOR STANDING It has a sleek, modern design that will complement any décor, and it is packed with features that will make cooking a breeze.",premier,Unknown,Unknown,0,9500
Nunix Free Standing Cooker 60x60 CM 3Gas 1 Electric 1 YEAR WARRANTY,nunix,Unknown,Unknown,1,28499
Nunix KZ-560-3G1E Free Standing 3 Gas Cooker1 Hotplate With Electric Oven Cooker,nunix,Unknown,Unknown,0,23890
Volsmart 4 Burners VGS-680 Free Standing Gas Cooker Cooking Range with 80L Oven 4 Gas Cooker  Gas Oven,volsmart,4 gas,Unknown,1,20899
"VON 60cm x  55cm, 3 Gas Jet Burners  1 Hot Plate Standing Cooker with Electric Oven1 YEAR WARRANTY",von,Unknown,Unknown,0,37890
Nunix COOKER 50 BY 55Free Standing 4 Gas Burner Cooker with Gas Oven,nunix,4 gas,Unknown,0,19999
"VON 60cm by 55cm, 3 Gas Jet Burners  1 Hot Plate Standing Cooker with Electric Oven1 YEAR WARRANTY",von,Unknown,Unknown,0,37799
