clean_product_name,brand,size,tv_type,product_reviews,product_price
Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G8G,vitron,32,smart,1347,11199
Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G8G,vitron,32,digital,710,11099
Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G8G,vitron,43,smart,1142,18499
"VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI Ports, 14 MONTHS WARRANTY 8 FREE GIFTS",vitron,32,smart,947,13978
"VITRON 32 Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty  7 FREE GIFTS",vitron,32,digital,243,12998
"GLD 32 Inch Frameless Smart Android TVG3200R1-SABy Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",vision,32,smart,348,11799
"BLUETOOTH VITRON HTC4388FS 43 INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI PORTS  7 FREE GIFTS",vitron,43,smart,856,22790
Special offerArtel 32 inch Frameless Bluetooth Smart TVAT32S Netflix Youtube Android AC Energy Saving Televison 1G8G,artel,32,smart,157,11099
Artel 30AT2801 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,artel,,digital,14,8499
"VITRON 43 INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2USB PORTS,3HDMI PORTS  6 EXTRA ACCESSORIES",vitron,43,smart,379,21799
"Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",vision,32,digital,203,11499
Special OfferArtel 43 inch Frameless Bluetooth Smart TV43AT4201Netflix Youtube Android AC Energy Saving Televison 1G8G,artel,43,smart,132,18299
LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv legstands Television Smart TVS 1G8G,vision,43,smart,19,18399
"Artel 32 inch Frameless Digital TVAT32D with 14 Months Warranty,AC Energy Saving Televison",artel,32,digital,33,10399
EOCO E-2400 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,eoco,24,digital,1,6699
