cooktop_name,cooktop_reviews,cooktop_price
【HOT！!】AILYONS/LYONS GS014-4 Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker Black,(659),"KSh 2,199"
IPCONE 7102  Double Gas Cooker Auto lgnition Double Burner Gas stove gas cooker 【hot】gas cooker/stove gas cooker cooking gas cooker burner gas cooker stainless,(209),"KSh 1,399"
【HOT！】AILYONS/LYONS GS017 Gas Cooker Double Burner Gas stove Super Infrared Heater Desktop Gas Stove gas cookers Stainless Steel Double Stove  Electronics  Appliances,(655),"KSh 1,428"
IPCONE 2 Gas Cooker 02  Glass Top Double Burner Gas stove【flowers pattern random】gas cooker 【hot】gas cooker/stove gas cooker cooking gas cooker burner gas cooker stainless,(64),"KSh 1,999"
AILYONS GS014-1/GS005A-1 Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker/ 2300W Double Cooking Plate Stove Gas Ring Hot Plate Cooker【HOT】,(1131),"KSh 2,299"
Nunix 2 Gas Cooker SC002 Double Burner Gas stove  gas cooker 【hot】gas cooker/stove gas cooker cooking gas cooker burner gas cooker stainless Black,(635),"KSh 2,099"
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(63),"KSh 2,199"
Nunix Glass Table Top Double Burner Gas Cooker + Pipe & Regulator,(191),"KSh 3,099"
AILYONS/LYONS GS014-5 Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker Black【HOT】】,(155),"KSh 2,349"
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,(118),"KSh 2,499"
RASHNIK RN-4079B  2000W Double Cooking Plate Stove Electric Hot Plate,(208),"KSh 1,899"
EUROCHEF CLEARANCE OFFER  Electric Tabletop Double Spiral Coil Cooker LIGHT BLUE,(31),KSh 899
(SPECIAL OFFER) Ecoa Char Stove and Grill Bundle Home Kitchen Cooker Charcoal Jiko (Formerly Jikokoa),(1),"KSh 3,599"
RASHNIK RN-4077B 1000W Single Cooking Plate Stove Electric Hot Plate cooker,(502),"KSh 1,099"
Electric Cooker / Single Spiral Coil Hotplate,(115),KSh 899
Generic 6KG GAS Regulator +FREE 1M Pipe+ 2 Free Hose Clamps,(53),KSh 539
Nunix 2 burner Gas cooker + Free pipe and regular knob + a nonstick pan,(54),"KSh 3,199"
Nunix Auto Ignition Two Burner Gas Original Cooker Stove + 2M Pipe + 6KG Regulator,(48),"KSh 2,500"
Nunix Glass Table Top Double Burner Gas COOKERS + Pipe & Regulator Black,(88),"KSh 3,199"
【 Promotion】Ipcone   Stainless Steel Gas Cooker Double Burner Gas stove Auto Ignition WITHOUT  pipe and regular knob,(430),"KSh 1,599"
AILYONS LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(2),"KSh 2,399"
Nunix LT04-01 4 Burner Table Top Gas Cooker Stove Table Top Cooker Burner Stove Gas stove  gas cooker 【hot】gas cooker/stove gas cooker cooking gas cooker burner gas cooker stainless,(157),"KSh 4,099"
Eurochef 2 Burner Gas Stove/ Gas Cooker - Stainless Steel with free 6kg regulator and 1m pipe,(55),"KSh 2,290"
Nunix Two Burner Tampered Glass Gas Stove Cooker + Regulator+ Pipe,(2),"KSh 3,300"
Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,(232),"KSh 2,600"
Nunix Two Burner Tabletop Gas Cooker Stainless Steel +6Kg Regulator + 2M Gas Pipe + Tightener,(237),"KSh 2,649"
😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -recommendedAILYONS 2 Burner Glass Top Gas Cooker,(4),"KSh 3,500"
RASHNIK RN-4078  2000W Double  Cooking Plate Stove Electric Ring Hot Plate Cooker,(88),"KSh 1,299"
Nunix 3 Gas + 1 Electric Hot Plate Table Top Gas Cooker 4 Burner Stove Auto Igination Stove,(2),"KSh 5,499"
EUROCHEF CLEARANCE OFFER  Electric Tabletop Double  Spiral Coil Cooker WHITE,(6),KSh 889
Eurochef G-003W  three Burner Gas Cooker Table Top Stove WHITE,(12),"KSh 2,099"
G-003B TABLE COOKER STAINLESS STEEL TRIPPLE (3) BURNER GAS COOKER BLACK PLUS FREE 6KG REGULATOR AND PIPE,(1),"KSh 2,899"
AILYONS GS013 Gas Cooker Double Burner Stainless Steel Table Top,(1),"KSh 2,499"
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,(42),"KSh 2,570"
🤪[GRAB IT AT LOW PRICE+ ADDED OFFERS]🤑😝AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe.Rustle up your favorite recipes with this newly designed Sayona automatic ga,(4),"KSh 2,499"
✅️SOKANY ELECTRIC STOVE ✅️🤪High Temperature Resistant Sokany Double Auto Ignition Electrical Induction Cooker,(0),"KSh 4,299"
Electric Cooker / Single Spiral Coil Hotplate,(0),"KSh 1,199"
sokany induction cooker,(7),"KSh 3,790"
Starlux Deluxe 4 Gas burner Table Top gas  COOKER BURNER  gas Stove Portable starlux 4 gas table top burner,(1),"KSh 3,850"
🤗🥳Nunix 4 burner full gas table top cooker+6 kg regulator + free 1 meter pipe.🥳This gas-burner will help you cook your food perfectly every time. It provides even distribution of heat and emits les,(0),"KSh 4,700"
😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -recommendedAILYONS 2 Burner Glass Top Gas Cooker,(0),"KSh 3,800"
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(128),"KSh 2,399"
Ipcone 2 Burner - Glass Top Gas Cooker,(2),"KSh 2,999"
Lyons Double Gas Burner Table Top Cooker This gas‎‐burner will help you cook your food perfectly every time‎‎‎.‎‎‎  It provides an even distribution of heat and emits less wasted heat than electric,(8),"KSh 1,999"
Ramtons RG/544 - Stainless Steel Table Top 2 Burner Gas Cooker,(3),"KSh 5,999"
Nunix Table Top Gas Cooker SS002 + 13KG Regulator + 2M Pipe+Tightener,(87),"KSh 2,595"
(Discount Offer!)  Rebune  RE-4-042 Table Top Single Gas Cooker With Auto Ignition and 1 Burner,(13),"KSh 1,699"
😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -recommendedAILYONS 2 Burner Glass Top Gas Cooker,(0),"KSh 3,200"
"AMAZE 3 BURNERS, STAINLESS STEEL GAS COOKER",(4),"KSh 3,799"
Starlux 4 Gas Burner Table Top Cooker,(5),"KSh 3,700"
"Rashnik double electric hot plate cooker-  The two burner hot plate allows you to prepare two meals simultaneously, without soot stains.",(0),"KSh 2,599"
AILYONS Glass tampered Top Infrared Double Burner Gas stove – ZKD-1093,(4),"KSh 3,100"
"Eurochef 3+1 Table Top with Automatic Ignition.Featuring three powerful gas burners and one electric hotplate, this versatile cooker offers the flexibility you need for all your culinary adventures.",(1),"KSh 5,200"
Jikokoa Jiko Koa Energy Saving Charcoal Stove/Jiko,(6),"KSh 4,299"
"🥰🤑ELEVATE YOUR KITCHEN EXPERIENCE 🪻🌽Eurochef 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER.🥑ONLY ON KILIMALL🤪FOUR BURNERS THREE GAS AND ONE ELECTRIC PLATE
AUTOMATIC IGNITION
PRODUCES UNIFORM F",(0),"KSh 4,966"
Generic High Quality Two Burner Table Top Coil Electric Cooker With Free Power Extension,(5),"KSh 1,980"
Edenberg EB-62226 2000 Watts Induction Cooker  7 Funtions-Preparation For Food 4 Hour Timer,(2),"KSh 3,899"
