standing_cooker_name,standing_cooker_reviews,standing_cooker_price
Volsmart 4 Burners VGS-580 Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven,(241),"KSh 18,299"
(Special Offer)Nunix  KZ-560-3G1E   Free Standing 3 Gas  Cooker+1 Hotplate With  Electric Oven Cooker,(223),"KSh 23,899"
SPECIAL OFFER Eurochef EGT-55-3G1E-E 3 Gas Burner + 1 Hot Plate with Electric Oven 55x50cm,(39),"KSh 22,100"
Nunix KZ-560-GO Free Standing 4 Gas Burners Oven Cooker Gas Cooker,(157),"KSh 19,799"
Nunix 3 Gas Burners  1 Electric Standing Gas Cooker With Storage Shelf  LTS-02,(18),"KSh 9,299"
【Special Offer】Volsmart 4 Burners VGS-580 Free Standing 4 Gas Burners Oven Cooker Gas Cooker/ Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven,(3),"KSh 17,999"
"Sayona Free Standing 50CM X 50CM, 3G+1E, GAS OVEN, White,  Gas Cooker+1 YEAR WARRANTY",(1),"KSh 21,790"
Nunix Free Standing 3 Gas Burner +1 Electric Cooker With Oven,(12),"KSh 23,999"
Nunix 4 Gas Burners Standing Gas Cooker With Storage Shelf LTS-01,(9),"KSh 8,399"
"CLEARANCE SALE!!Mika 50cmx 60cm,3 Gas+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven",(0),"KSh 32,990"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate, Free Standing Cooker with Electric Oven",(1),"KSh 28,000"
"Mika Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Matt Black WITH FREE PIPE AND REGULATOR AND CLIPS",(0),"KSh 37,000"
Premier Four Burner Cooker PM-400 All Gas With Oven Auto Ignition Electronics And Appliances Home Improvement Standing Gas Cookers brown,(7),"KSh 18,639"
"CLEARANCE SALE!! Sarah 60 x 60, 3 Gas Pool Jet Burners + 1 Hot Plate, Free Standing Cooker + Electric Oven+1 YEAR WARRANTY",(2),"KSh 28,699"
"Mika Standing Cooker, 50cm X 60cm, 3 Gas + 1 Hot Plate, Button Ignition, Electric Oven+1 YEAR WARRANTY",(0),"KSh 32,999"
SPECIAL OFFER EUROCHEF EG55-4G+E 4 Gas Burner + Electric Oven Stand Gas Cooker  50x55cm,(0),"KSh 19,999"
"Mika Free Standing Cooker,50cm X 60cm,3 Gas+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY",(0),"KSh 32,999"
CLEARANCE SALE!!! Nunix Free Standing Cooker 60CM x 60CM  3 Gas +1 Electric Hotplate+Electric Oven +1 YEAR WARRANTY,(0),"KSh 26,999"
Special Offer Eurochef EG65-4G+G Free Standing 4 Gas Burners Oven Cooker Gas Cooker,(0),"KSh 22,099"
"CLEARANCE SALE!!! Nunix 50 * 55cm Cooker, 4 Gas Burners With Gas Oven (1YR WRTY)",(0),"KSh 19,999"
"CLEARANCE SALE!!! Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)",(0),"KSh 23,999"
Free Standing 4 Gas Burner With Gas Oven Cooker 50 * 55 * 84cm,(19),"KSh 19,994"
"MIKA FREE Standing Cooker, 50cmx60 cm, 3 Gas Burner + 1 Electric Plate & Electric Oven+1 YEAR WARRANTY",(0),"KSh 31,999"
Eurochef 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER. FOUR BURNERS THREE GAS AND ONE ELECTRIC PLATE with AUTOMATIC IGNITION,(0),"KSh 5,476"
"Jiko ecoa - Jiko okoa Less charcoal, Less Smoke, Save Energy",(0),"KSh 3,995"
"Eurochef EG55-4G+E OVEN Free Stand Glass Top Cooker, rotisserie Silver, 60L",(0),"KSh 20,999"
Nunix Two Burner Tabletop Gas Cooker Stainless Steel - Black,(0),"KSh 2,450"
"GAS COOKER. VOLSMART Standing Cooker, 60*60, 3 Gas Jet Pool Burners + 1 Hot Plate, Electric Oven",(0),"KSh 28,750"
【Xmas Mega Sale】Volsmart 4 Burners VGS-680 Free Standing Gas Cooker Cooking Range with 80L Oven 4 Gas Cooker + Gas Oven,(1),"KSh 20,199"
CLEARANCE OFFER Eurochef EG76-4G1E-G 4 Gas 1 Hot Plate stand cooker with Gas Oven,(6),"KSh 35,000"
"Premier 4 BURNER GAS COOKER FLOOR STANDING It has a sleek, modern design that will complement any décor, and it is packed with features that will make cooking a breeze.",(0),"KSh 9,500"
Nunix Free Standing Cooker 60x60 CM 3Gas +1 Electric +1 YEAR WARRANTY,(1),"KSh 28,499"
Nunix KZ-560-3G1E Free Standing 3 Gas Cooker+1 Hotplate With Electric Oven Cooker,(0),"KSh 23,890"
Volsmart 4 Burners VGS-680 Free Standing Gas Cooker Cooking Range with 80L Oven 4 Gas Cooker + Gas Oven,(1),"KSh 20,899"
"VON 60cm x  55cm, 3 Gas Jet Burners + 1 Hot Plate Standing Cooker with Electric Oven+1 YEAR WARRANTY",(0),"KSh 37,890"
Nunix COOKER 50 BY 55Free Standing 4 Gas Burner Cooker with Gas Oven,(0),"KSh 19,999"
"VON 60cm by 55cm, 3 Gas Jet Burners + 1 Hot Plate Standing Cooker with Electric Oven+1 YEAR WARRANTY",(0),"KSh 37,799"
Modern collection Volsmart full gas cooker 4 Burners Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven 50*55   standing without ignation,(1),"KSh 18,929"
Nunix 50by55cm 3G+1E electric hotplate free standing cooker with 2m gas pipe,(0),"KSh 25,199"
"Mika Free Standing Cooker,50cm X 60cm,3 Gas+1 Electric Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY",(0),"KSh 32,999"
"CLEARANCE SALE!!! Sayona 50CM by 50CM, 3G+1E, GAS OVEN, White, Free Standing Gas Cooker+1 YEAR WARRANTY",(0),"KSh 21,799"
Ramtons  EB/302 -4 GAS 55X55 BROWN COOKER 5693,(1),"KSh 29,499"
Volsmart 4 Burners VGS-681 Free Standing Gas Cooker Cooking Range with 80L Oven 3 Gas + 1 Electric,(0),"KSh 25,699"
"Mika 50*60, 3 Gas Jet Burners + 1 Rapid Hot Plate, Electric Oven, Rotisserie, Button Ignition Standing Gas Cooker",(0),"KSh 32,899"
"Mika 50*60, 3 Gas Jet Burners + 1 Rapid Hot Plate, Electric Oven, Rotisserie, Button Ignition Standing Gas Cooker",(0),"KSh 32,999"
"Mika All Gas, Free Standing Cooker - 50cm* 60cm, Electric Oven Oven (1 YR WRTY)",(0),"KSh 25,999"
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Silver",(0),"KSh 35,999"
Mika 50×60cm standing cooker cooker 3G+1E Hotplate with Electric oven Automatic ignition+1 YEAR WARRANTY,(0),"KSh 32,999"
"Nunix 60×60 3+1 Free Standing Cooker with Electric oven, 3 GAS + 1 HOT PLATE WITH ELECTRIC OVEN",(0),"KSh 26,599"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate Cooker +Electric Oven",(0),"KSh 29,000"
"BJs 3 Gas Burner,1 Hotplate, 60*60 Cooker, Food Warmer, Turbo Fan",(0),"KSh 35,999"
VON  4 Burner Free standing Auto Ignation Burner With CYLINDER COMPARTMENT,(0),"KSh 18,279"
