product_id,name,rating,reviews,current_price,previous_price
SKU ID: 18272411,Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G+8G,5.0,0 Customer reviews,"KSh 11,199","KSh15,999"
SKU ID: 17369128,Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G+8G,5.0,0 Customer reviews,"KSh 18,499","KSh37,999"
SKU ID: 18257587,Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G+8G,5.0,0 Customer reviews,"KSh 11,099","KSh13,999"
SKU ID: 18285104,"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI Ports, 14 MONTHS WARRANTY+ 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,978","KSh 17,000"
SKU ID: 15343058,"VITRON 32"" Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty + 7 FREE GIFTS",5.0,0 Customer reviews,"KSh 12,998","KSh 16,500"
SKU ID: 17640653,"GLD 32 Inch Frameless Smart Android TV（G3200R1-SA）By Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",5.0,0 Customer reviews,"KSh 11,799","KSh 19,999"
SKU ID: 16624308,"BLUETOOTH VITRON HTC4388FS 43"" INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI PORTS + 7 FREE GIFTS",5.0,0 Customer reviews,"KSh 22,790","KSh 26,500"
SKU ID: 10000602610,(Special offer)Artel 32 inch Frameless Bluetooth Smart TV(AT32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,5.0,0 Customer reviews,"KSh 11,099","KSh 15,000"
SKU ID: 10001041407,Artel 30AT2801 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,5.0,0 Customer reviews,"KSh 8,499","KSh 10,800"
SKU ID: 15423226,"VITRON 43"" INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 21,799","KSh 26,500"
SKU ID: 10000624135,(Special Offer)Artel 43 inch Frameless Bluetooth Smart TV(43AT4201)Netflix Youtube Android AC Energy Saving Televison 1G+8G,5.0,0 Customer reviews,"KSh 18,299","KSh 24,000"
SKU ID: 17500984,"Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",5.0,0 Customer reviews,"KSh 11,499","KSh 18,000"
SKU ID: 10001479768,LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv leg/stands Television Smart TVS 1G+8G,5.0,0 Customer reviews,"KSh 18,399","KSh25,999"
SKU ID: 10000602532,"Artel 32 inch Frameless Digital TV(AT32D) with 14 Months Warranty,AC Energy Saving Televison",5.0,0 Customer reviews,"KSh 10,399","KSh 13,000"
SKU ID: 10001505565,EOCO E-2400 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,5.0,0 Customer reviews,"KSh 6,699","KSh 8,500"
SKU ID: 10001361863,"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi +  7 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 13,980","KSh 22,399"
SKU ID: 10001165140,"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",5.0,0 Customer reviews,"KSh 22,699","KSh40,000"
SKU ID: 17459280,"Vitron HTC3200S 32"" Inch BLUETOOTH TV FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty + 7 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,945","KSh16,900"
SKU ID: 15552541,"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi + 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 13,795","KSh16,500"
SKU ID: 18061661,"VITRON HTC3200S - 32"" Inch Frameless Smart Android TV Inbuilt WIFI,Bluetooth -Netflix,Youtube Television+7 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,950","KSh30,000"
