product_name,product_reviews,product_price
Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G+8G,(1347),"KSh 11,199"
Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G+8G,(710),"KSh 11,099"
Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G+8G,(1142),"KSh 18,499"
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI Ports, 14 MONTHS WARRANTY+ 8 FREE GIFTS",(947),"KSh 13,978"
"VITRON 32"" Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty + 7 FREE GIFTS",(243),"KSh 12,998"
"GLD 32 Inch Frameless Smart Android TV（G3200R1-SA）By Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",(348),"KSh 11,799"
"BLUETOOTH VITRON HTC4388FS 43"" INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI PORTS + 7 FREE GIFTS",(856),"KSh 22,790"
(Special offer)Artel 32 inch Frameless Bluetooth Smart TV(AT32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,(157),"KSh 11,099"
Artel 30AT2801 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(14),"KSh 8,499"
"VITRON 43"" INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 6 EXTRA ACCESSORIES",(379),"KSh 21,799"
"Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",(203),"KSh 11,499"
(Special Offer)Artel 43 inch Frameless Bluetooth Smart TV(43AT4201)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(132),"KSh 18,299"
LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv leg/stands Television Smart TVS 1G+8G,(19),"KSh 18,399"
"Artel 32 inch Frameless Digital TV(AT32D) with 14 Months Warranty,AC Energy Saving Televison",(33),"KSh 10,399"
EOCO E-2400 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(1),"KSh 6,699"
"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi +  7 EXTRA ACCESSORIES",(27),"KSh 13,980"
"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",(11),"KSh 22,699"
"Vitron HTC3200S 32"" Inch BLUETOOTH TV FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty + 7 FREE GIFTS",(626),"KSh 13,945"
"Vitron 32"" Inch TELEVISION HTC3218 HD LED Digital FRAMELESS TV WITH INBUILT DECODER FOR LOCAL CHANNELS 2*USB 3*HDMI PORTS plus A FREE AERIAL+BRACKET+EXTENSION",(16),"KSh 11,999"
"VITRON HTC3200S - 32"" Inch Frameless Smart Android TV Inbuilt WIFI,Bluetooth -Netflix,Youtube Television+7 FREE GIFTS",(566),"KSh 13,950"
"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi + 6 EXTRA ACCESSORIES",(406),"KSh 13,795"
"Vitron HTC 4388FS 43"" INCH FRAMELESS-BLUETOOTH-ENABLED  FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI+7 FREE GIFTS+14 MONTHS WARRANTY",(338),"KSh 22,790"
"CTC 32F1S 32 Inch Frameless Android Smart TV HD Television with 1 Year Warranty,WIFI Connect, USB 2.0,Android 1+8GB,Inbuilt decoder",(49),"KSh 11,499"
"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM +14 MONTHS WARRANTY+FREE TV GUARD+WALL BRACKET+OTG+RCA CABLE",(37),"KSh 20,899"
CTC Digital Inbuilt Decorder -With USB & HDMI OUTPUT-23'' Inches+FREE AERIAL+TV CABLE,(6),"KSh 6,890"
"VITRON 32"" INCH BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android 11.0 TV Inbuilt Decoder HDMI USB Ports,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY+ 4 EXTRA GIFTS",(283),"KSh 13,295"
"CTC 23'' Digital LED TV ,USB,HDMI PORT,23"" INCHES,DECODER,AC/DC+FREE AERIAL+TV CABLE",(9),"KSh 6,999"
