product_name,product_reviews,product_price,clean_product_name,brand,size,tv_type
Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G+8G,(1347),"KSh 11,199",Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G8G,vitron,32,smart
Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G+8G,(710),"KSh 11,099",Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G8G,vitron,32,digital
Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G+8G,(1142),"KSh 18,499",Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G8G,vitron,43,smart
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI Ports, 14 MONTHS WARRANTY+ 8 FREE GIFTS",(947),"KSh 13,978","VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI Ports, 14 MONTHS WARRANTY 8 FREE GIFTS",vitron,32,smart
"VITRON 32"" Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty + 7 FREE GIFTS",(243),"KSh 12,998","VITRON 32 Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty  7 FREE GIFTS",vitron,32,digital
"GLD 32 Inch Frameless Smart Android TV（G3200R1-SA）By Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",(348),"KSh 11,799","GLD 32 Inch Frameless Smart Android TVG3200R1-SABy Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",vision,32,smart
"BLUETOOTH VITRON HTC4388FS 43"" INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI PORTS + 7 FREE GIFTS",(856),"KSh 22,790","BLUETOOTH VITRON HTC4388FS 43 INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI PORTS  7 FREE GIFTS",vitron,43,smart
(Special offer)Artel 32 inch Frameless Bluetooth Smart TV(AT32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,(157),"KSh 11,099",Special offerArtel 32 inch Frameless Bluetooth Smart TVAT32S Netflix Youtube Android AC Energy Saving Televison 1G8G,artel,32,smart
Artel 30AT2801 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(14),"KSh 8,499",Artel 30AT2801 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,artel,,digital
"VITRON 43"" INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 6 EXTRA ACCESSORIES",(379),"KSh 21,799","VITRON 43 INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2USB PORTS,3HDMI PORTS  6 EXTRA ACCESSORIES",vitron,43,smart
"Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",(203),"KSh 11,499","Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",vision,32,digital
(Special Offer)Artel 43 inch Frameless Bluetooth Smart TV(43AT4201)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(132),"KSh 18,299",Special OfferArtel 43 inch Frameless Bluetooth Smart TV43AT4201Netflix Youtube Android AC Energy Saving Televison 1G8G,artel,43,smart
LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv leg/stands Television Smart TVS 1G+8G,(19),"KSh 18,399",LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv legstands Television Smart TVS 1G8G,vision,43,smart
"Artel 32 inch Frameless Digital TV(AT32D) with 14 Months Warranty,AC Energy Saving Televison",(33),"KSh 10,399","Artel 32 inch Frameless Digital TVAT32D with 14 Months Warranty,AC Energy Saving Televison",artel,32,digital
EOCO E-2400 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(1),"KSh 6,699",EOCO E-2400 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,eoco,24,digital
"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi +  7 EXTRA ACCESSORIES",(27),"KSh 13,980","Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3HDMI Ports,2USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi   7 EXTRA ACCESSORIES",vitron,32,smart
