product_name,product_reviews,product_price,clean_product_name,description,brand,size
Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G+8G,(1347),"KSh 11,199",Vitron 32 Inch Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G8G,Frameless Smart TV HD Netflix TV HTC3200S Youtube Television DVB-T2 Android 11 AC Energy Saving Television 1G8G,Vitron,32
Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G+8G,(710),"KSh 11,099",Vitron 32 inch Frameless Television HTC 3218 LED Digital TV DVBT2 1G8G,Frameless Television HTC 3218 LED Digital TV DVBT2 1G8G,Vitron,32
Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G+8G,(1142),"KSh 18,499",Vitron 43 inch Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G8G,Smart TV HTC 4388FS Android Television Full HD Frameless TV with Netflix Youtube Television 1G8G,Vitron,43
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI Ports, 14 MONTHS WARRANTY+ 8 FREE GIFTS",(947),"KSh 13,978","VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI Ports, 14 MONTHS WARRANTY 8 FREE GIFTS","BLUETOOTH-ENABLED  HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI Ports, 14 MONTHS WARRANTY 8 FREE GIFTS",VITRON,32
"VITRON 32"" Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty + 7 FREE GIFTS",(243),"KSh 12,998","VITRON 32 Inch DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty  7 FREE GIFTS","DIGITAL TELEVISION FRAMELESS HTC3218  LED TV USB ,HDMI ports  Inbuilt Decoder for FREE to Air Channels Wide Color Enhancer 14 Months Warranty  7 FREE GIFTS",VITRON,32
"GLD 32 Inch Frameless Smart Android TV（G3200R1-SA）By Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",(348),"KSh 11,799","GLD 32 Inch Frameless Smart Android TVG3200R1-SABy Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX","Frameless Smart Android TVG3200R1-SABy Android Smart TV LED Television with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX",GLD,32
"BLUETOOTH VITRON HTC4388FS 43"" INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI PORTS + 7 FREE GIFTS",(856),"KSh 22,790","BLUETOOTH VITRON HTC4388FS 43 INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI PORTS  7 FREE GIFTS","VITRON HTC4388FS   FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI PORTS  7 FREE GIFTS",BLUETOOTH,43
(Special offer)Artel 32 inch Frameless Bluetooth Smart TV(AT32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,(157),"KSh 11,099",Special offerArtel 32 inch Frameless Bluetooth Smart TVAT32S Netflix Youtube Android AC Energy Saving Televison 1G8G,offerArtel  Frameless Bluetooth Smart TVAT32S Netflix Youtube Android AC Energy Saving Televison 1G8G,Special,32
Artel 30AT2801 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(14),"KSh 8,499",Artel 30AT2801 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,30AT2801 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,Artel,
"VITRON 43"" INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 6 EXTRA ACCESSORIES",(379),"KSh 21,799","VITRON 43 INCH BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2USB PORTS,3HDMI PORTS  6 EXTRA ACCESSORIES","BLUETOOTH ENABLED HTC4388FS FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE  BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2USB PORTS,3HDMI PORTS  6 EXTRA ACCESSORIES",VITRON,43
