descriptions,price,old_price,ratings
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver","KSh 18,200","KSh 11,800",
Nunix Digital Microwave Oven 20L WITH GRILL,"KSh 10,395","KSh 11,080",
"Nunix  3 IN 1 BREAKFAST MAKER, TOASTER,OVEN, COFFEE MAKER","KSh 14,200","KSh 12,000",
Ramtons RM/684-25 LITERS MICROWAVE+GRILL (1YR WRTY),"KSh 7,779","KSh 16,390",
"Mika MMWMSKH2012B - Microwave, 20L, Manual - Black","KSh 8,499","KSh 9,999",
Nunix 20L Electric Oven With Grill (3 Knobs),"KSh 8,500","KSh 9,500",
Nunix 20L Electric Rotisserie Oven,"KSh 8,200","KSh 8,000",
"Mika MMWMSKH2011W - Microwave, 20L, Manual - White","KSh 7,799","KSh 19,999",
"Nunix  20L Electric Rotisserie Oven, 1280W","KSh 14,650","KSh 20,000",
"Nunix Digital Microwave with Grill, 20L","KSh 9,399","KSh 19,000",
Hisense 20L Digital Microwave oven,"KSh 18,130","KSh 18,999",
Nunix Digital Microwave Oven 20L With Grill,"KSh 11,450","KSh 16,000",
Nunix 20L Digital Electric Microwave Oven WITH GRILL,"KSh 12,990","KSh 8,000",
Nunix manual microwave 20l,"KSh 7,695","KSh 13,999",
