Description,Price,Old Price,Reviews
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Star Blue (2YRs WRTY)","KSh 12,200","KSh 11,000",4.4 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue (2YRs WRTY)","KSh 9,200","KSh 15,000",4.4 out of 5
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 12,999","KSh 23,000",4.5 out of 5
"Tecno Spark 30c, 6.67'' HD+, UP to 128GB ROM+ 4GB RAM +(4GB RAM Extended)  (Dual Sim) 50MP, 5000 mAh - Orbit Black","KSh 13,000","KSh 14,999",4.1 out of 5
"XIAOMI Redmi 13 6.79'' 8GB+256GB Dual SIM, 4G, 5030 MAh - Ocean Blue (2YRS WRTY)","KSh 13,580","KSh 23,000",3.8 out of 5
"VILLAON V101 177"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)","KSh 7,000","KSh 1,200",4.1 out of 5
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Black (2YRS WRTY)","KSh 12,999","KSh 10,500",4.4 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2 YRs WRTY)","KSh 21,060","KSh 15,000",4.4 out of 5
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 15,000","KSh 14,999",3.7 out of 5
"Tecno Spark 20 Pro, 6.78"", 256GB+8GB (8GB RAM Extended)Dual Sim, Unset Blush(1YR WRTY)","KSh 13,599","KSh 26,999",4.4 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Timber Black","KSh 9,200","KSh 10,000",4.3 out of 5
