href,item_name,prc,old,bdg_dsct_sm,discount,item_id,item_brand,stars_s,rev
https://www.jumia.co.ke/von-cooker-3-gas-1-electric-vcf563131nfs-silver-275454589.html,N/A,"KSh 28,699",N/A,N/A,N/A,VO144HA4XQV5DNAFAMZ,VON,N/A,N/A
https://www.jumia.co.ke/haier-3gas-1electric-50x60-cooker-with-electric-oven-ecr1031eesb-176210729.html,N/A,"KSh 42,504",N/A,N/A,N/A,HA342HA36Q98ZNAFAMZ,Haier,N/A,N/A
https://www.jumia.co.ke/bruhm-60-x-60-gas-cooker-bgc-66m31orsn-black-1yr-wrty-267311113.html,N/A,"KSh 49,995",N/A,N/A,N/A,BR021HA3TLIOGNAFAMZ,Bruhm,N/A,N/A
https://www.jumia.co.ke/nunix-50-55cm-cooker-4-gas-burners-gas-oven1yr-wrty-187877731.html,N/A,"KSh 18,480",N/A,N/A,N/A,NU344HA1VQNKMNAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-oven-72049297.html,N/A,"KSh 19,999",N/A,N/A,N/A,NU344HA1B7JNVNAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-cooker-3-gas-burnershot-plate-electric-60l-oven-93302196.html,N/A,"KSh 33,319",N/A,N/A,N/A,NU344HA155HLFNAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-free-standing-cooker-505584cm4-gas-burnersgas-oven-166832318.html,N/A,"KSh 19,469",N/A,N/A,N/A,NU344HA2ZYEE2NAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-50-55cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877732.html,N/A,"KSh 22,000",N/A,N/A,N/A,NU344HA21OZMENAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-3gas-1-electric-free-standing-oven-gas-cooker-150769711.html,N/A,"KSh 24,500",N/A,N/A,N/A,NU344HA1UK6W1NAFAMZ,Nunix,N/A,N/A
https://www.jumia.co.ke/nunix-50-55cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877732.html,"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000",N/A,N/A,N/A,NU344HA21OZMENAFAMZ,Nunix,4.1 out of 5,4.1 out of 5(214)
https://www.jumia.co.ke/nunix-50-55cm-cooker-4-gas-burners-gas-oven1yr-wrty-187877731.html,"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 18,480",N/A,N/A,N/A,NU344HA1VQNKMNAFAMZ,Nunix,4 out of 5,4 out of 5(148)
https://www.jumia.co.ke/von-vcf503131nfy-3-gas-1-electric-hotplate-electric-oven-50x50-grey-1yr-wrty-283640047.html,"VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 24,999","KSh 35,000",29%,29%,VO144HA4J4VBYNAFAMZ,VON,4.1 out of 5,4.1 out of 5(39)
https://www.jumia.co.ke/nunix-2-gas-burner-table-top-gcmodel-223092057.html,Nunix 2 Gas Burner Table Top – GCModel,"KSh 2,530",N/A,N/A,N/A,NU344HA4JQTRCNAFAMZ,Nunix,4.3 out of 5,4.3 out of 5(31)
https://www.jumia.co.ke/nunix-sc-001-2-burner-table-top-cooker-191549739.html,"Nunix SC-001, 2 Burner Table Top Cooker","KSh 1,760",N/A,N/A,N/A,NU344HA37DOT3NAFAMZ,Nunix,4.2 out of 5,4.2 out of 5(10)
https://www.jumia.co.ke/ailyons-lyns-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-275395453.html,AILYONS LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,489",N/A,N/A,N/A,AI234HA3W6PLPNAFAMZ,AILYONS,3.9 out of 5,3.9 out of 5(14)
https://www.jumia.co.ke/generic-eurochef-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-267793457.html,Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,220","KSh 3,500",37%,37%,GE840HA4JZMOWNAFAMZ,Generic,N/A,N/A
https://www.jumia.co.ke/nunix-50-60cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877730.html,"Nunix 50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 23,625","KSh 25,300",7%,7%,NU344HA1PSBIUNAFAMZ,Nunix,3.5 out of 5,3.5 out of 5(18)
