microwaves_name,microwaves_reviews,microwaves_price
Hisense Microwave Oven H20MOWS11 700W 20L Digital Microwave,(366),"KSh 8,899"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With Warranty RMW-20PX7H-B,(46),"KSh 8,499"
SmartPro 20Ltrs Digital Microwave Oven High Quality Microwaves With Warranty SMV-20L-V4,(2),"KSh 8,199"
CLEARANCE SALE!! Hisense 20L Digital Microwave Oven H20MOMWS11 (White)+2YRS WARRANTY,(0),"KSh 8,790"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave,(31),"KSh 10,299"
Ramtons RM/458 - Digital Glass Microwave,(16),"KSh 11,999"
"Haier  20L Digital Microwave Oven 700W,  Black -HMW20DBM",(13),"KSh 10,395"
Hisense 20L Digital Microwave Oven H20MOMWS11 (White),(3),"KSh 8,890"
Ramtons RM/672- Microwave Grill 20Litres,(2),"KSh 8,999"
"Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven 
Input Power: 1280W
Voltage: 220V/50Hz
Operating Frequency: 2450MHz
6 Microwave Power Level
White cavity
Capacity: 20L
WHAT’S IN T",(0),"KSh 6,000"
"OFFER OFFER!!! VON VAMS-20DGX Microwave Oven, Solo, 20L, Digital+1 YEAR WARRANTY",(0),"KSh 10,899"
Binatone 20L Digital Microwave Oven MWO-2017 High Quality Kitchen Microwave,(1),"KSh 7,615"
ROCH Analog Microwave 20L Good Quality Microwaves With Warranty RMW-20LM7CJ-A(B),(0),"KSh 8,249"
Haier Analog 20L Microwave Oven 700W - Black- HMW20MB,(14),"KSh 10,395"
"Icona Microwave ILDM0-2565XB QuickChef 25L -Your Culinary Game Changer with Warranty Plus"" – the ultimate kitchen revolution that promises to elevate your cooking experience. 1 year warranty",(0),"KSh 10,667"
CLEARANCE SALE!!!Mika 20L Digital Microwave with Grill - Silver (2 Years Warranty),(0),"KSh 10,899"
"Nunix Microwave oven,1500 Watt Oven - 7 Cook Functions Rotisserie, Cook, Bake, Broil & More - Includes Baking Tray, Skewers & Handles",(0),"KSh 6,700"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-SILVER,(0),"KSh 10,399"
HANMAC 20L Digital Microwave Oven,(0),"KSh 9,999"
"Mika Digital Microwave - 20L, 700W, Grill +1 Year Warranty",(0),"KSh 10,999"
Hisense 20L Microwave Oven,(2),"KSh 9,900"
Black and silver hisense Digital Microwave20 Litres Hisense digital microwave with grill,(0),"KSh 12,150"
Microwave Oven 20L,(43),"KSh 8,599"
Nunix Microwave Oven 20L WITH GRILL White,(16),"KSh 9,987"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-White+2 YEARS WARRANTY,(0),"KSh 8,990"
RAMTONS-RM/240-20 LITERS MICROWAVE+GRILL SILVER,(0),"KSh 13,399"
"Nunix Digital Microwave Oven 20L With GrillCOMPACT: The Nunix C20PG Countertop Microwave is 44cm long making it the ideal choice to fit into your dormitories, apartment kitchens or workplace.
DIGITAL",(0),"KSh 10,950"
Von Digital control Multi-stage cooking 6 auto-cook menus VAMS-20DGX Microwave Oven Solo Touch control panel Memory cooking a combination of different programs,(89),"KSh 12,099"
Microwave Oven 20L DIGITAL WITH GRILL,(24),"KSh 9,879"
Hisense 20L Digital Microwave -WHITE +2 Years Warranty,(0),"KSh 8,990"
VON 20L ANALOGE MICROWAVE,(0),"KSh 11,000"
Hisense 20L Digital Microwave (2 Years Warranty),(0),"KSh 9,999"
Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity Capacity: 20L WHAT’S IN T,(0),"KSh 10,000"
Ramtons RM/459 - 20L - Manual Glass Microwave,(3),"KSh 11,599"
Microwave Oven 20L White Manual NUNIX MICROWAVE,(0),"KSh 8,647"
RAMTONS-RM/238-20LT MICROWAVE DIGITAL SILVER,(2),"KSh 12,399"
"Hisense Microwave Oven 20L,6 auto cooking ,defrost function ,Child safety lock -2YRS Warranty (H20MOBS11 )",(0),"KSh 12,999"
Von Mechanical control Glass front panel VAMS-20MGX Microwave Oven Solo 8 power levels Grey interior cavity Normal cooking programs power and time setting,(21),"KSh 11,799"
Hisense Microwave Oven H20MOBS11 700W 20L Digital Microwave-BLACK,(0),"KSh 9,990"
"CLEARANCE OFFER Haier HMW20DBM Digital Microwave Oven 700W, 20L -",(0),"KSh 13,999"
"🔅KENYAN LOVED♦️♥️##INSPIRED LIVING😇😋Haier HMW20DBM Digital Microwave Oven 700W, 20L - Black.Stylish (Silver) stainless steel finish, Compact size 20L Capacity, 700 Watts and 10 Power Levels.
Clock",(0),"KSh 16,910"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L Without GRILL,(0),"KSh 9,999"
🧏🏻‍♀️ Best Offers 🧏🏻‍♀️Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity,(0),"KSh 6,100"
Icona ILM0-2025XW 20L Microwave Oven With 30min Timer 1 YEAR WARRANTY.,(0),"KSh 7,889"
2M214 Microwave Oven Magnetron 2M214 161GP 2B71165R,(0),"KSh 2,999"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,799"
"*HANMAC MICROWAVE DIGITAL+GRILL 20 Litres Digital control with grill function Grill power 1000watts 95""Cooking TImer Multi stage cooking 5 Power levels Defrost function Speedy cooking Cooking completi",(0),"KSh 12,000"
*Synix Manual Microwave 20L Model MW720-05M KSh 👍🌻👆 Techinical  Specifications Power Levels: 5 Power: 700W Capacity: 20L Rated Voltage: 220-230V Weight: 7.5kg Warranty: 13 Months,(0),"KSh 8,666"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
Ramtons RM/328 - 20L Manual Microwave,(9),"KSh 10,599"
Electric oven 20L Electric Rotisserie microwave Oven,(0),"KSh 6,996"
Roch Digital Mirowave oven 20L Black RMW-20PX7H Live smarter ROCH microwave OVEN High Quality,(0),"KSh 10,999"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 13,999"
CLEARANCE SALE!! Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-BLACK,(0),"KSh 9,890"
OFFER OFFER!!!VON HMG-202DB/VAMG-20DGB - Grill Microwave - 20L - Black & Red+1 YEAR WARRANTY,(0),"KSh 12,999"
CLEARANCE SALE!! Hisense 20L Digital Microwave Oven(BLACK)+2YEARS WARRANTY,(0),"KSh 9,890"
CLEARANCE SALE!! Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-White,(0),"KSh 8,899"
OFFER OFFER!!!VON HMG-202DB/VAMG-20DGB -DIGITAL MICROWAVE OVEN WITH GRILL- 20L - Black & Red+1 YEAR WARRANTY,(0),"KSh 12,999"
Nunix Microwave Oven 20L WITH GRILL White,(0),"KSh 12,000"
"CLEARANCE SALE!!!! Mika MMWMSKH2012B - Microwave, 20L, Manual - Black+1 YEAR WARRANTY",(0),"KSh 10,999"
"💫SYNIX Digital 20 L microwave+GRIll 🌞💫DIGITAL PANEL: Our microwave features a Digital Control Panel that makes it really easy to use and provides choices for express cooking, altering the power lev",(0),"KSh 12,099"
CLEARANCE SALE!!!Hisense 20L Digital Microwave - Black (2 Years Warranty),(0),"KSh 9,899"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave+2YRS WARRANTY,(0),"KSh 8,990"
Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity Capacity: 20L WHAT’S IN T,(0),"KSh 6,600"
Ramtons 23 Litres Microwave+Grill - Black (1YR WRTY),(0),"KSh 15,999"
"VON VAMS-20DGX Microwave Oven, Solo, 20L, Digital, Black+1 YEAR WARRANTY",(0),"KSh 10,999"
CLEARANCE SALE!!!Hisense DIGITAL Microwave Oven H20MOBS11 700W 20L-BLACK,(0),"KSh 9,900"
Hisense Digital 20L Microwave Oven H20MOMWS11-WHITE+2YRS WARRANTY,(0),"KSh 8,990"
Mika 20L Digital Microwave with Grill - Silver+2 YEARS WARRANTY,(0),"KSh 10,999"
"CLEARANCE SALE!!!Mika 20L Digital Microwave Plus Grill,SILVER",(0),"KSh 10,899"
"🥳🔅COOKING MADE EASIER✔️👌ICONA Microwave Oven 20L With Manual Setting ILMO-2025XW.Convection cooking function for evenly cooked food
 levels for precise cooking
Defrost, reheat, and cook presets for",(0),"KSh 13,300"
Smart Pro 20L Digital Microwave Oven (SMV-20L-V2)+1 YEAR WARRANTY,(0),"KSh 9,999"
CLEARANCE SALE!!! Mika 20L Digital Microwave with Grill - Silver,(0),"KSh 10,999"
OFFER OFFER!!! Mika 20L Digital Microwave with Grill - Silver,(0),"KSh 10,999"
"Mika Digital Microwave - 20L, 700W, Grill (1 Year Warranty)",(0),"KSh 10,899"
CLEARANCE SALE!!!Hisense 20L Digital Microwave (2 Years Warranty),(0),"KSh 9,998"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-White,(0),"KSh 8,990"
Mika 20L Digital Microwave with Grill - Silver+2 YRS WARRANTY,(0),"KSh 10,999"
"MICROWAVE. Ramtons Microwave Digital 20Litres with Grill RM310.Digital control and Grill Function, Multi cooking stage, 5 Power Levels, Speed Cooking",(0),"KSh 12,600"
