,Name,Price,Reviews,Screen_size
0,Lenovo Thinkpad Yoga 11e X360 Celeron 4gb Ram 500gb HDD Refurbished Laptop Touchscreen 12.5 Inch Screen Size With Windows and Office Installed Black in Color,"KSh 10,999",0,12.5
1,"LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE","KSh 11,499",132,12.0
2,"REFURBISHED HP ELITEBOOK 8460P CORE INTEL I5 8GB RAM 500GB HDD COMPUTER LAPTOP ,WINDOWS 10 PRO +FREE MOUSE","KSh 12,999",63,
3,"Touchscreen REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 4TH GENERATION X360 COMPUTER, INSTALLED WINDOWS 10 PRO, black","KSh 11,490",1,
4,"Refurbished HP Elitebook 8460 Laptop Core i5 8GB RAM / 500GB HDD Computer Laptop,windows 10 pro Refurbished Laptops Notebook Computers","KSh 12,999",11,
5,HP ProBook X360 11 G5 EE 9th Generation 4GB RAM 192GB SSD 11.6 Inches Touchscreen 1.1GHz up to 2.7GHz Dual Core Processor Windows 10 Pro 2 - in - 1 Convertible Refurbished Laptop,"KSh 17,000",0,11.6
6,Refurbished Macbook Air 2015 Silver 13 inch apple laptop,"KSh 31,999",1,13.0
7,Touchscreen Refurbished lenovo thinkpad yoga 11e 2 in 1 laptop x360 celeron 4gb ram 128gb ssd 11.6'' inch Lenovo laptops Notebook Computers,"KSh 11,199",79,11.6
8,"Refurbished Dell Latitude 7490 Elite Intel Core i5 8th Gen 16GB RAM 512GB SSD ,Laptop With Touchscreen and Backlight Keyboard and Fingerprint reader. With Face Recognition 6 Month Warranty","KSh 35,000",2,
9,i5+8GB+500GB+Mouse Refurbished Hp Elitebook 840 G1 Laptop - Intel Core i5 - 8GB RAM 500GB HDD Storage - 14'' Display Windows 11 Notebook Computer 14 inch HD Screen-Windows 11 Office 2019 Pro Edition,"KSh 16,999",0,14.0
10,"i5+8GB+256GB+14""+MouseRefurbished Hp Elitebook 840 G3 Laptop - Intel Core i5 6th - 8GB RAM 256GB SSD ROM - 14'' Windows 10 Notebook Silver 14 inch FHD Display","KSh 20,999",0,14.0
11,With Sylus Pen Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 11.6''inch Refurbished Laptop Computer Notebook,"KSh 14,549",0,11.6
12,HP ProBook X360 11 G2 EE Core i5 7th Gen 8GB RAM 256GB SSD 11.6 Inches HD Touchscreen 1.2GHz up to 3.2GHz Dual Core Processor Windows 10 Pro 2 in 1 Convertible Slim Refurbished Laptop - 6 MNTHS WRNTY,"KSh 21,500",0,11.6
13,HP Refurbished EliteBook 840 G6 Core I7 16GB 256GB SSD 8th Gen 14Inch Ultrabook Laptop,"KSh 38,299",0,14.0
14,"Refurbished Hp Elitebook 840 G1 Laptop - Intel Core i5 - 8GB RAM 500GB HDD Storage - 14'' Display Windows 10 Notebook Computer Black in Colour, 14 inch HD Screen-Windows 10 Office 2019 Pro Edition","KSh 20,999",0,14.0
15,MACBOOK Pro 2012 Core i5 8GB RAM 500GB HDD LAPTOP FREE WIRELESS MOUSE,"KSh 24,399",2,
16,"Refurbished Lenovo Thinkpad T510 15.6"" Laptop - Intel Core i7 2.66GHz 4 CPUs, 4GB RAM, 250GB HDD, Windows 10 Home, 1024x768 Display, 64Hz Refresh Rate, HDMI, 6 Month Warranty","KSh 10,999",33,15.6
17,"TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360","KSh 10,999",5,
18,"i5+8GB+1TB+14""+Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 1000GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops","KSh 23,999",0,14.0
19,"Refurbished Laptop Lenovo Thinkpad T430 Core i5 3th Gen 4GB+500GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch","KSh 12,299",2,12.5
20,"PANASONIC CF-MX5: Versatile 12.5"" Laptop with i5-6200U, 4GB/8GB RAM, 128GB/256GB SSD, Touch-Screen, Pen Input, 64-Bit Operating System, 6 Month Warranty","KSh 12,999",11,12.5
21,"Refurbished HP Chromebook 11 G5 Laptop 11.6"" Display Intel Celeron N3060 4GB RAM + 16GB SSD Storage HDMI HD Camera Chrome OS Laptops Computer Notebook 6 Months Warraanty","KSh 8,599",5,11.6
22,Touchscreen i5 8gb ram + 128gb ssd Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen 8GB RAM 128GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,"KSh 18,699",0,11.6
